Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|Expreso|expreso.com.pe|Evaluarán posible violación de neutralidad electoral de Ollanta Humala|Según un informe del coordinador de fiscalización del Jurado Electoral Especial (JEE) Lima Centro 1, Leonel Concha Montoya, “habría una posible vulneración al principio de neutralidad electoral” cometida por Ollanta Humala, presidente constitucional de la República. (...) Al día siguiente, en la ceremonia de lanzamiento de un proyecto de ampliación de agua potable en Villa María del Triunfo, asoció a un candidato presidencial con “programas truchos”. “Les ofrecían el ‘agua para todos’ y al final era ‘coima para todos’”, dijo Humala en alusión al programa inaugurado en el gobierno de Alan García...Aunque ayer (jueves), Ollanta Humala volvió a hablar de la corrupción en el gobierno fujimorista (1990- 2000). “Estamos criticando, como tenemos todo el derecho a criticar, lo bueno o lo malo que se ha hecho en gestiones anteriores”, se justificó..También minimizó un informe de la asociación civil Transparencia, según el cual Qali Warma fue la entidad pública que, a través del Twitter, transgredió más veces la prohibición de publicidad estatal en período electoral.|25/12/2015|52||0||Ollanta Moisés Humala Tasso|Alan García Pérez|Negativo|2015-12
Medio Impreso|Perú 21|Perú 21|Y qué tal si ... - Luis Davelouis|…dado que la inseguridad ciudadana no es un problema nuevo ni habrá de desaparecer a partir del próximo 28 de julio, los pretendientes a presidente y sus equipos se ponen de acuerdo con el actual gobierno para avanzar en el diseño de políticas que lo mitiguen o ayuden a solucionarlo?. (...) Ambas son reformas dolorosas e impopulares de costo político altísimo pero funcionales a la meta de un país más seguro y mejor educado. Quien sea que llegue a Palacio lo hará apenas (como Alan García y la educación en el 2006-2007) o no lo hará. ¿Quién puede comprarse el pleito y asumir el costo hoy, que es urgente? La gestión saliente. ¿Qué puede perder sino que se le recuerde como el que se sacrificó y, por decir algo, botó a la mitad de la Policía y destituyó a la mitad del Poder Judicial para dejarle el campo limpio al siguiente gobierno?.|03/12/2015|1593.64|186.74|0|12|Luis Davelouis Lengua|Alan García Pérez|Neutro|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""No habrá gran transferencia de votos desde el PPC a Alan""|Entrevista a analista político Luis Benavente. - ¿En el caso de Alianza para el Progreso, de César Acuña, ha terminado por aliarse con Somos Perú. /, También se juntan para pasar la valla? Creo que es lo mismo que en el caso del PPC, pues también quieren tener presencia congresal, pero la diferencia con los pepecistas es que Somos Perú no tienen problemas de división. No creo que un representante de Somos Perú integre la plancha presidencial de Acuña, quien es un grande que suma a un pequeño. Acuña está comenzando a generar una expansión centrífuga; se sabe que los partidos nacionales suman votos de regiones y en su caso es al revés. (...) - En el caso de Solidaridad Nacional, parece que han decidido irse con una fujimorista, Luisa María Cuculiza.. Aparentemente han sido ninguneados por PPK. (...) ¿Cómo ve el hecho que personajes progresistas como Vladimiro Huaroc, Anel Townsend y, al parecer, Susana Villarán vayan sumarse a Keiko y Acuña, quienes son vinculados con hechos de corrupción? Es que la izquierda está muy dividida, solo queda una pequeña unidad representada en Verónika Mendoza y que no incluye al sector de Villarán, Nano Guerra, entre otros.|13/12/2015|5756.52|770.67|0|6|Luis Benavente Gianella|Alan García Pérez|Neutro|2015-12
Radio|Exitosa|Exitosa Noticias|Entrevista al experto en temas electorales Carlo Magno Salcedo (Exitosa)|Entrevista. El experto en temas electorales Carlo Magno Salcedo negó que integre lista al Congreso por el partido de PPK. Más adelante, se refirió a las candidaturas presidenciales de César Acuña, Alan García y otros políticos. Luego, Magno Salcedo refirió que la Sunedu debe indagar de forma exhausta a las universidades que vienen siendo utilizadas por candidatos presidenciales. Cabe precisar, que esto lo dice en clara alusión a la Universidad César Vallejo y la Universidad San Martín de Porres. “APP ya fue sancionado antes por la ONPE, esto fue impugnado y llevado al JNE, pero hasta la actualidad la deuda dada no es pagada”, precisó.|28/12/2015|3383.1||1790||Carlo Magno Salcedo|Alan García Pérez|Neutro|2015-12
Televisión|RPP|Ampliación de Noticias - RPP|Joel Segura comenta sentencia por caso “Narcoindultos” (RPP TV)|Entrevista. El procurador Anticorrupción, Joel Segura, señaló que si bien ayer se dio a conocer la decisión del tribunal en el caso “Narcoindultos” aún no tienen las razones detalladas que llevaron a esta resolución. Aseveró que el tribunal solo se ha referido a las once personas cercanas a Miguel Facundo Chinguel y no al caso de Aurelio Pastor (que es investigado en la Fiscalía) ni de Alan García (que es evaluado en el Congreso por el mismo tema). Segura manifestó que lo dicho por el Partido Aprista – esta sentencia desbarata la imputación de una política de gobierno en favor del tráfico ilícito de drogas – es una opinión política pues este caso no está cerrado. El procurador aseveró que aún existen elementos para poder encontrar mayor culpabilidad de los involucrados.|15/12/2015|3558.1||805||Joel Segura Alania|Alan García Pérez|Neutro|2015-12
Medio Impreso|La República|La República|La vida en soles - Mirko Lauer|Un nuevo personaje en la campaña electoral: la inflación. Pero que el pollo se haya pasado noviembre aleteando hacia arriba, hasta llegar a S/. 9 en estos días, tiene un fuerte peso simbólico. Que el gobierno acuse a los especuladores no está tranquilizando a nadie. (...) La CADE de Pararas en cierto modo lo ha maquillado al colocar el crecimiento en la parte alta de su agenda. Hasta aquí ningún candidato se ha querido subir al tema, por diversos motivos. Pero las preguntas están flotando en el aire. En la teoría este seña un tema grato para Keiko Fujimori, puesto que el fujimorismo cortó la hiperinflación 1989- 1990.|03/12/2015|1207.96|248.29|0|4|Mirko Lauer|Alan García Pérez|Neutro|2015-12
Medio Impreso|La Nación|La Nación|Ricardo Belmont lanza su candidatura|En multitudinario mitin en Los Olivos.|14/12/2015|989.23|187.49|0|4|Augusto Álvarez Rodrich|Alan García Pérez|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Humala: ""¿Criticar historia es meterse en campaña electoral?""|En otro momento, Ollanta Humala recordó un informe emitido por la Procuraduría Anticorrupción que señala que, por casos relacionados al gobierno de Alberto Fujimori, se debe al Estado un monto superior a S/.1.400 millones por reparaciones civiles...""Eso es cierto y no involucra ningún tema de injerencia en campaña. Nos debe preocupar, porque esa es plata de todos los peruanos que ha sido robada y sustraida y que hasta ahora no ha sido devuelta"", sostuvo el jefe del Estado.|28/12/2015|5994.53||0||Ollanta Moisés Humala Tasso|Alan García Pérez|Negativo|2015-12
Medio Impreso|Diario Uno|Diario Uno|Favoritos de las encuestas marcados por la corrupción|Keiko, PPK, García Acuña y Toledo tienen algún caso de corrupción pendiente con la justicia advierte exprocurador Julio Arbizu. Todos los candidatos que se perfilan en los primeros lugares de las encuestas tienen que responder por algún caso relacionado con la corrupción y es lamentable que la gente se esté acostumbrando a convivir con ella. dijo el exprocurador Julio Arbizu al comentar una reciente encuesta que sostiene que el 78% de los peruanos son tolerantes con la corrupción.(...) En Cade todos hicieron refrencias tangenciales y creo que eso evidencia una orfandad de ideas y de trabajo de los partidos para enfrentar este problema comentó,|11/12/2015|4804.6|387.92|0|7|Julio Arbizu González|Alan García Pérez|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Dime a quién te jalas… - Patricia del Río|PPK-el moqueguano: el gringo necesita un baño de provincias. El exitoso ex gobernador de Moquegua Martín Vizcarra, que hizo de su región un ejemplo de eficiencia, le aportará a la plancha de Kuczynski ese acercamiento al interior del país que Acuña tiene por su origen y Keiko por el gobierno fujimorista de su padre. Vizcarra lo puede ayudar, además, a cosechar votos en el sur, una plaza interesante y menos cautiva que el norte.|10/12/2015|5994.53||0||Patricia del Río Labarthe|Alan García Pérez|Neutro|2015-12
