Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Televisión|RPP|Ampliación de Noticias - RPP|Congresista Mora dialoga sobre situación de la universidad en el Perú (RPP TV)|Entrevista. El congresista Daniel Mora manifestó que la calidad de la universidad peruana recién se está tratando con cierta seriedad en estos momentos. Manifestó que en el libro “Los desafíos de la universidad peruana” el cual presentarán hoy se narra cómo nació la universidad en el Perú. Sostuvo que la educación que se da en nuestro país no es pertinente y por ello seguimos siendo exportadores netos de materias primas. Mora sostuvo que los organismo encargados en supervisar la calidad en las universidades (ANR y Conafu) se convirtieron en un centro de corrupción. Indicó que duraron tanto tiempo porque era difícil sacarlos debido a que estaban articulados con el sistema judicial y Ministerio Público. Mora reconoció que le causó un enorme pesar que el líder de Perú Posible, Alejandro Toledo, lo haya sacado de la Comisión de Educación.|17/12/2015|3575.78||809||Daniel Emiliano Mora Zevallos|Alejandro Toledo Manrique|Neutro|2015-12
Web|Perú 21|peru21.pe|Ausencia cultural II, por David Flores-Hora [Opinión]|Continuando la reflexión de la semana pasada, vale la pena aclarar que ninguno de los documentos consultados es un plan oficial de gobierno. Sin embargo, dejan en claro el desinterés por vincular cultura con la política estatal...– Fuerza Popular (Keiko Fujimori). Cultura es lo más lejano para la hija del dictador. Resulta extraño que quien lidera las encuestas no tenga –a la fecha– ninguna propuesta (en economía, seguridad, lucha contra la corrupción, servicios públicos, etc.) que pueda difundir en su portal...– Partido Aprista Peruano (Alan García Pérez). Esta agrupación es la única –de las consultadas– que incluye en su portal un resumen de su plan de gobierno. Lamentablemente, es fechado en enero de 2010 y –obviamente– no hace alusión a políticas culturales.|12/12/2015|1874.83||0||David Flores Hora|Alejandro Toledo Manrique|Negativo|2015-12
Televisión|RPP|Ampliación de Noticias - RPP|Iván Vásquez comenta sobre alianza de Fuerza Loretana y el Apra (RPP TV)|Entrevista. El ex gobernador regional de Loreto, Iván Vásquez, recordó que su agrupación Fuerza Loretana en las elecciones del 2011 participó en alianza con Alejandro Toledo logrando que este candidato gane en su región. Aseveró que decidió unirse a la candidatura de Alan García porque tienen el compromiso del expresidente de ejecutar el proyecto del tren Iquitos-Yurimaguas. Vásquez sostuvo que la mayoría de los loretanos no estaban de acuerdo con que Petroperú opere en el Lote 192. Manifestó que la necesidad de su región es la conectividad y la energía eléctrica. Vásquez señaló que debe revisarse la descentralización porque para un gobernador regional es incómodo estar detrás de un ministro para lograr que la gestión que haces no demore tanto.|14/12/2015|4340.44||982||Iván Vásquez Valera|Alejandro Toledo Manrique|Neutro|2015-12
Web|La República|larepublica.pe|Dos renuncias|Las renuncias de Daniel Mora y Luis Thais a Perú Posible son algo más que una reacción a la plancha designada por Alejandro Toledo. Es poco probable que ellos mismos hayan querido ocupar esos lugares, ornamentales en última instancia. Pero probablemente tenían ideas propias sobre el método de elección o las figuras idóneas.. .En el caso de Mora se trata de una renuncia tardía, y a la vez muy esperada. Debió irse cuando Toledo le serruchó el piso, y luego lo apuñaló por la espalda, en la comisión de Educación del Congreso, o incluso antes, cuando el partido no le dio apoyo a la importante y polémica Ley de Educacion promovida por Mora. Pero entonces dijo que no renunciaría.|21/12/2015|1014.43||0||Mirko Lauer|Alejandro Toledo Manrique|Neutro|2015-12
Radio|Radio San Borja|San Borja|Carlos Bruce criticó a Toledo por comentario sobre unión civil (San Borja)|Titular. El congresista Carlos Bruce dijo que fue “patético” el modo en el que el expresidente Alejandro Toledo respondió a una pregunta sobre la unión civil. “Unión civil...yo soy hombre”, había dicho el exmandatario.|10/12/2015|23.54||22||Carlos Ricardo Bruce Montes De Oca|Alejandro Toledo Manrique|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Dime a quién te jalas… - Patricia del Río|PPK-el moqueguano: el gringo necesita un baño de provincias. El exitoso ex gobernador de Moquegua Martín Vizcarra, que hizo de su región un ejemplo de eficiencia, le aportará a la plancha de Kuczynski ese acercamiento al interior del país que Acuña tiene por su origen y Keiko por el gobierno fujimorista de su padre. Vizcarra lo puede ayudar, además, a cosechar votos en el sur, una plaza interesante y menos cautiva que el norte.|10/12/2015|5994.53||0||Patricia del Río Labarthe|Alejandro Toledo Manrique|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Es oportunismo hablar de indulto|En el fujimorismo no tardaron en responder a Toledo, quien dijo que insultaría al reo ex presidente Alberto Fujimroi. El congresista Aguinaga calificó de oportunistas esas declaraciones y dijo que Toledo quiere proyectar una imagen de bueno debido a que tiene una intención de voto muy reducida en las encuestas. Cuestionó que algunos candidatos con pocas posibilidades de ganar las elecciones, se refieran a este tema con la finalidad de ganar votos y recordó que la familia del exgobernante, preso por corrupción y delitos de lesa humanidad, ha optado por solicitar la nulidad de la sentencia en el Poder Judicial por las supuestas irregularidades.|24/12/2015|840.4|88.73|0|6|Alejandro Aurelio Aguinaga Recuenco|Alejandro Toledo Manrique|Negativo|2015-12
Televisión|Canal ATV Plus|ATV+ Noticias Edición tarde|Toledo generó polémica por respuesta (ATV+)|El expresidente Alejandro Toledo fue criticado por sus declaraciones sobre el proyecto de la unión civil en redes sociales, por lo cual el congresista Carlos Bruce le pidió al candidato de Perú Posible que se disculpe. Por su parte, Toledo tuvo que dar explicaciones por su polémica respuesta resaltando que es “un hombre de familia”.|11/12/2015|825||165||Pamela Vértiz|Alejandro Toledo Manrique|Negativo|2015-12
Medio Impreso|Publimetro|Publimetro|Alejandro Toledo sobre la unión civil. ""Yo soy un hombre de familia""|El candidato presidencial por Perú Posible, Alejandro Toledo, negó haber realizado comentarios discriminatorios contra los homosexuales, al referirse a la unión civil.|11/12/2015|714.91|70.67|0|4|Carlos Ricardo Bruce Montes De Oca|Alejandro Toledo Manrique|Negativo|2015-12
Web|Canal N|canaln.pe|Bruce: Perú Posible no puede decir que soy su militante, ese asunto ya lo arreglé|Tras conocerse la información de una posible limitación para postular en las próximas elecciones generales del 2016 por la agrupación Peruanos por el Kambio, el congresista Carlos Bruce aclaró que esta situación está solucionada. Explicó que “Ante el JNE figuraba mi nombre, a pesar de que Perú Posible me había enviado una carta notarial expulsándome, firmada por el propio Alejandro Toledo”, tras ello, se apersonó ante el organismo para poner fin a la confusión.|23/12/2015|104||0||Carlos Ricardo Bruce Montes De Oca|Alejandro Toledo Manrique|Neutro|2015-12
