Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|Perú 21|Perú 21|Los que no tienen plata también juegan - Carlos Basombrío Iglesias|En mi opinión, estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave, que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber, hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y, ojo, más allá de simpatías o mías, hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos, pero es importante que se escuchen, también, las voces de Mendoza, Barnechea, Belmont, Flores-Aráoz, Reggiardo, Simon, Hilario y Guzmán.|20/12/2015|2902.34|247.02|0|5|Carlos Miguel Ramón Basombrío Iglesias|Alfredo Barnechea García|Positivo|2015-12
Web|Exitosa|exitosadiario.pe|Villarán participará en elecciones: ""Quiero evitar que el fujimorismo regrese""|La exalcaldesa de Lima, Susana Villarán, anunció hoy que ha decidido participar en las próximas elecciones generales. Detalló que está en conversaciones con varios partidos políticos.. .A través de su página en Facebook, Villarán adelantó que hará todo lo que esté en sus manos para evitar que la candidata Keiko Fujimori llegue a ser presidenta de la República. “Pondré mi energía, mi pasión, mi vida, mi chalina verde de la esperanza en ese empeño”, puntualizó. Villarán, quien hace unos días renunció a Fuerza Social, reveló que ya ha conversado con los líderes políticos César Acuña, Pedro Pablo Kuczynski, Alfredo Barrenechea, Ántero Flores-Aráoz y Yehude Simon. Precisó que hoy hará lo propio con Julio Guzmán.|12/12/2015|71.5||0||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Radio|Radio San Borja|Agenda Central|Entrevista al congresista Víctor Andrés García Belaunde (San Borja)|Despacho desde el Congreso. Tras conocerse la alianza entre el PPC y el APRA, el congresista Víctor Andrés García Belaunde señaló que las sumas y restas se verán cuando el vínculo se concrete. Con respecto a Acción Popular, aseveró que el candidato más fuerte para ganar las elecciones internas es el señor Barrenechea.|11/12/2015|171.2||160||Víctor Andrés García Belaúnde|Alfredo Barnechea García|Positivo|2015-12
Radio|Radio San Borja|San Borja Noticias -Tarde |Declaraciones del legislador de Acción Popular Yonhy Lescano (San Borja)|Enlace telefónico. El congresista de Acción Popular, Yonhy Lescano, precisó que la Universidad San Martín de Porres y la Universidad César Vallejo, que pertenece a César Acuña, han anunciado que subirán el costo de las matrículas el próximo año. Añadió que la nueva Ley Universitaria ha legalizado el lucro en la educación superior. La Superintendencia Nacional de Educación Superior Universitaria debería encargarse de fiscalizar el cobro de pensiones que realizan las universidades, afirmó Lescano. Agregó que el fujimorismo estaría apoyado por la Universidad Peruana de Ciencias Aplicadas. En otro momento, anunció que apoyará al candidato presidencial de Acción Popular Alfredo Barnechea.|29/12/2015|802.5||750||Yonhy Lescano Ancieta|Alfredo Barnechea García|Positivo|2015-12
Web|Canal N|canaln.pe|Susana Villarán confirmó su participación en las elecciones del 2016|Susana Villarán, anunció su participación en las elecciones generales del 2016. A través de su cuenta de Facebook manifestó que pese a que había decidio lo contrario, lo hará ante la posible llegada del fujimorismo a la presidencia de la República. (...)No obstante, Susana Villarán no precisó con qué partido político participará en los comicios, sin embargo, dijo que ha conversado con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea.|12/12/2015|104||0||Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Las fórmulas del 2016 - Hugo Guerra|Quisiera celebrar el advenimiento del nuevo año con optimismo, pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral, hasta este punto, es un desastre , con pocas excepciones. La falta de consistencia ideológica , organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos , pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder , sino a asaltar el Estado. (...) Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre.|28/12/2015|2981.55|325.64|0|16|Hugo Guerra Arteaga|Alfredo Barnechea García|Neutro|2015-12
Web|Correo|diariocorreo.pe|¿Usted entiende esto? - Juan Carlos Valdivia|Con Nadine trabajaron por un tiempo Verónica Mendoza y Sergio Tejada que se han reunido con Marisa Glave y otros exregidores de Villarán para impulsar un proyecto de izquierda...De Villarán también fue socio Vladimiro Huaroc en Fuerza Social (fundada por el primero, pero que se la quedo la segunda). Hoy Huaroc es candidato a la vicepresidencia por el fujimorismo. Huaroc ha sido funcionario de este gobierno en la PCM, donde compartió labores con Julio Guzmán, también exfuncionario de este gobierno y autodenominado “outsider”. Otra socia de Villarán ha sido Anel Townsend, quien ahora es candidata con Acuña.|23/12/2015|702.1||0||Juan Carlos Valdivia|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Trome|Trome|Villarán en reuniones|La exalcaldesa de Lima, Susana Villarán, quien hace días renunció a Fuerza Social, partido que ella misma fundó, aseguró que de todas maneras participará en las elecciones del próximo año con su chalina verde para ""evitar que el fujimontesinismo regrese"". Afirmó que por eso se ha reunido con César Acuña, Pedro Pablo Kuczynski, Alfredo Barnechea, Antero Flores-Aráoz, Yehude Simon, y líderes de Izquierda. Anunció que luego lo hará con Julio Guzmán. Dijo que su decisión la dará a conocer oportunamente.|13/12/2015|1209.63|55.99|0|10|Susana María del Carmen Villarán de la Puente|Alfredo Barnechea García|Neutro|2015-12
Radio|Exitosa|Juan Carlos Tafur en Exitosa|Análisis de la situación política – electoral por Pedro Tenorio (Exitosa)|Entrevista. El periodista y analista político Pedro Tenorio dio un balance de la situación política – electoral. En primer lugar, sostuvo que la decisión de Keiko Fujimori no ha sido improvista, sino que formaría parte de una estrategia electoral. Asimismo, hizo referencia a la militancia de Luisa María Cuculiza, Martha Chávez y Alejandro Aguinaga avocado a su padre, Alberto Fujimori. En ese aspecto, hizo comparación de la percepción de sectores C y D a candidatos como PPK o Alan García, en este último – agregó – le haría falta la construcción de una imagen menos tradicional. Más adelante, puntualizó que César Acuña tendría un 8% de aceptación (y no 25%) y no descartó que Julio Guzmán o Alfredo Barrenechea llamen la atención de la población. Finalmente, Tenorio hizo énfasis en la continuidad de reformas de diversos sectores y apreciar la situación de la economía nacional. No desmereció el reconocimiento de Pedro Chlimper, Martín Vizcarra o Lourdes Flores sobre temas nacionales o la necesidad de función de un sistema de economía abierta y sancionar irregularidades; recordó el caso de concertación de precios entre dos conocidas papeleras y falta de pronunciamiento de la Confiep o empresarios.|30/12/2015|3124.17||1653||Pedro Tenorio Narváez|Alfredo Barnechea García|Neutro|2015-12
Medio Impreso|Del País|Del País|Lluvia de candidatos - Jimmy Torres C.|No cabe duda que nuestro país es muy rico, pero muy rico. Hay mucho dinero y eso se demuestra por la gran cantidad de candidatos presidenciales. La pugna por llegar al sillón de Pizarro es intensa y todo vale. Pero, habrá que preguntarse todos los candidatos e integrantes de su plancha si tiene vocación de servicio al Estado o es la simple enfermedad de saciar el apetito de poder. Entre los que postulan la gran mayoría ya ocupo cargos, saben lo que es estar con automóvil, chofer, seguridad, gastos de representación y una vida artificial .Lo que si causa gracia es la plancha presidencial que lideraran Alfredo Barnechea, Fernando Olivera, Daniel Urresti, Yehude Simón, Alejandro Toledo y de Hernando Guerra García.|21/12/2015|933.3|255.67|0|2|Jimmy Torres Carrasco|Alfredo Barnechea García|Negativo|2015-12
