Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|Exitosa|exitosadiario.pe|Villarán participará en elecciones: ""Quiero evitar que el fujimorismo regrese""|La exalcaldesa de Lima, Susana Villarán, anunció hoy que ha decidido participar en las próximas elecciones generales. Detalló que está en conversaciones con varios partidos políticos.. .A través de su página en Facebook, Villarán adelantó que hará todo lo que esté en sus manos para evitar que la candidata Keiko Fujimori llegue a ser presidenta de la República. “Pondré mi energía, mi pasión, mi vida, mi chalina verde de la esperanza en ese empeño”, puntualizó. Villarán, quien hace unos días renunció a Fuerza Social, reveló que ya ha conversado con los líderes políticos César Acuña, Pedro Pablo Kuczynski, Alfredo Barrenechea, Ántero Flores-Aráoz y Yehude Simon. Precisó que hoy hará lo propio con Julio Guzmán.|12/12/2015|71.5||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Canal N|canaln.pe|Susana Villarán confirmó su participación en las elecciones del 2016|Susana Villarán, anunció su participación en las elecciones generales del 2016. A través de su cuenta de Facebook manifestó que pese a que había decidio lo contrario, lo hará ante la posible llegada del fujimorismo a la presidencia de la República. (...)No obstante, Susana Villarán no precisó con qué partido político participará en los comicios, sin embargo, dijo que ha conversado con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea.|12/12/2015|104||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Correo|diariocorreo.pe|Elecciones 2016: Rómulo Mucho se une al partido ORDEN de Antero Flores|Después de no haber conciliado un acuerdo con Peruanos por el Cambio (PPK), Rómulo Mucho, líder del grupo político Perú en Acción, informó en conferencia de prensa que postulará en las próximas elecciones del 2016 como vicepresidente de la República por el partido ORDEN, liderado por Antero Flores Araoz. (...) “El Gobierno no sacó adelante proyectos mineros, no hizo el esfuerzo, si lo hubiera hecho distinto sería el panorama económico del Perú”, dijo durante su presentación y agregó: “garantizo que las minas no van a contaminar, puedo firmar con mi sangre. Tía María debió salir en el 2009, en el 2011 debió producir, cuánto de canon más hubiéramos recibido, puestos de trabajo...”. Mencionó invertir en los proyectos Ocoña, Molloco, Lluta y Lluclla. Además de los proyectos mineros Tía María y Conga como solución a la crisis económica. “Si se hubiera invertido de manera adecuada no estaríamos en esta situación”,dijo.|13/12/2015|702.1||0||Rómulo Mucho Mamani|Ántero Flores-Aráoz Esparza|Positivo|2015-12
Medio Impreso|Trome|Trome|Villarán en reuniones|La exalcaldesa de Lima, Susana Villarán, quien hace días renunció a Fuerza Social, partido que ella misma fundó, aseguró que de todas maneras participará en las elecciones del próximo año con su chalina verde para ""evitar que el fujimontesinismo regrese"". Afirmó que por eso se ha reunido con César Acuña, Pedro Pablo Kuczynski, Alfredo Barnechea, Antero Flores-Aráoz, Yehude Simon, y líderes de Izquierda. Anunció que luego lo hará con Julio Guzmán. Dijo que su decisión la dará a conocer oportunamente.|13/12/2015|1209.63|55.99|0|10|Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|La República|La República - Suplemento Domingo|Promesas 2016 - Renato Cisneros|Ver de una vez por todas «El Despertar de la Fuerza» y dejar de sufrir los comentarios sembrados en las redes por maliciosos spoilers que no se compadecen de los fans de «Star Wars» que no hemos podido ver aún el nuevo episodio de la saga. He leído por ahí que muere Han Solo. Espero que se trate de una broma. Festejar con moderación los cuarenta años de mi nacimiento y, al hacerlo, colgar simbólicamente los chimpunes de los viejos desbandes con que antes solía homenajear esa efeméride. Casarme con Natalia delante de un código civil y, dos días después, delante de una gran cruz, y bailar el vals con empeñoso decoro frente a los invitados, y luego brindar con ellos y allí sí ahondar en los excesos con que es menester celebrar los acontecimientos felices que uno juzga definitivos. No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|2549.04|817.44|0|23|Renato Cisneros|Ántero Flores-Aráoz Esparza|Negativo|2015-12
Radio|Exitosa|Exitosa Domingo|Entrevista a Rómulo Mucho, candidato a la vicepresidencia por el partido Orden (Exitosa)|Entrevista. Rómulo Mucho, candidato a la vicepresidencia por el partido Orden, comentó sobre su postulación. Asimismo, señaló que hay que trabajar bastante junto a Antero Flores Araoz para subir en las encuestas. Además, indicó que ha presentado una propuesta para que el canon sea utilizada para la educación.|20/12/2015|3320.73||1757||Rómulo Mucho Mamani|Ántero Flores-Aráoz Esparza|Positivo|2015-12
Web|RPP|rpp.com.pe|Susana Villarán anunció que participará en las elecciones del 2016|La exalcaldesa de Lima Susana Villarán anunció su participación en las elecciones generales del 2016, con el objetivo de evitar que el fujimorismo regrese al poder. (...) Villarán adelantó que aún evalúa con qué partido participará en los comicios del próximo año, pero admite haberse reunido con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea.|12/12/2015|1700.92||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|El Chino|El Chino|Villarán dice que conversa con Acuña y PPK|La exalcaldesa de Lima Susana Villarán aseguró que ""participará en las elecciones"" del próximo año para ""evitar que el fujimontesinismo, ahora encarnado en Keiko Fujimori, regrese al poder"", Villarán informó que ha conversado con César Acuña y Pedro Pablo Kuczynski (PPK), entre otros candidatos presidenciales, pero aún no ha tomado una decisión, ""Con qué agrupación iré? Algunos de mis interlocutores en estas conversaciones me han invitado a acompañarlos"", agregó,|13/12/2015|465.01|98.43|0|5|Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|La República|La República|Perú Wars: El Despertar a la Fuerza - Marco Sifuentes|¿Ya pasaron las náuseas, Perú? ¿O todavía seguimos contemplando con estupor ese chocolateo de lealtades, ese festival de traiciones, esa radiografía del subdesarrollo también conocida como la lista de las 17 planchas de candidatos a la presidencia y vicepresidencia de nuestro país? Más allá del gravol, veamos algunas conclusiones en borrador. –Algo inédito: hasta los pitufos son parte del elenco estable. No hay (casi) pitufos desconocidos. Belmont, Yehude, Nano, Ántero, Goyo, Barnechea o Urresti son personajes que tranquilamente podrían obtener 2%. No les serviría, por supuesto, para pasar la valla del 5%. Así, la mayor amenaza para Keiko Fujimori, en la primera vuelta, no se encuentra en ninguno de los otros 16 candidatos. Estos saben que 1) no tienen forma de desplazarla y 2) les convendría más jugar a ser el mal menor ante Keiko en la segunda vuelta.|23/12/2015|2452.21|292.79|0|5|Marcos Sifuentes|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|El voto inesperado - César Lévano|La encuestadora lmasen halló una sorpresa en su sondeo llevado a cabo entre el 26 de noviembre y el 1 de diciembre. A la pregunta: ¿usted votaría por alguien de izquierda para la presidencia de la República?"", 7.2 por ciento respondió: ""definitivamente sí"", y 19.5 declaró: ""probablemente sí"". En suma, un potencial 26.7 por ciento (...) Por lo demás, Imasen confirma en sus puestos a los candidatos favoritos de la Conferencia Anual de Empresarios (CADE). Keiko Fujimori está en la punta, con 33.2 por ciento. Le siguen PPK, con 15.4; César Acuña, con 10.9 y Alan García, con 8.6. Alejandro Toledo obtuvo 4.6 y Verónika Mendoza 2.0. En la lista que, bajo el rubro de otros, cosecha colectivamente 2.8 por ciento figuran Ántero Flores-Aráoz, Romulo Mucho, Miguel Hilario, Renzo Reggiardo, Julio Guzmán, Alfredo Barnechea, José Luna, Gonzalo García, Nono Guerra Garcia, Ricardo Belmont y Hernando de Soto|04/12/2015|2339.75|245.78|0|2|César Lévano|Ántero Flores-Aráoz Esparza|Neutro|2015-12
