Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|RPP|rpp.com.pe|Anel Townsend: Nunca estuve inscrita en Unión por el Perú|La nueva vocera de Alianza para el Progreso, Anel Townsend, aclaró en el programa Al Estilo Juliana de RPP Noticias que su cargo en el partido en el cual milita desde el lunes pasado es como vocera de campaña en la cuidad de Lima para impulsar y lograr votos en diferentes distritos de la capital. (...) Por otro lado expresó también que ve positiva la disposición de Acuña para someterse a investigaciones y denuncias en su contra. Finalmente, destacó la labor del ingeniero en la creación de sus universidades y los programas que se impulsan en estas...""Ha sido importante que Acuña haya dicho que lo pueden investigar y verán que las denuncias serán aclaradas. Yo conocí a Acuña cuando fue congresista, hemos tenido trabajos en conjunto, en 2009 colaboré con la universidad César Vallejo y ahí aprendí mucho de este consorcio y encontré que tenían programas permanentes de capacitación e inserción en comunidades"", comentó.|12/12/2015|1700.92||0||Ana Elena Luisa Cristina Townsend Diez-Canseco|César Acuña Peralta|Positivo|2015-12
Televisión|RPP|RPP NOTICIAS - EDICIÓN TARDE|Luis Iberico justificó que César Acuña desconozca origen de aportes a su campaña (RPP TV)|El presidente del Congreso e integrante de Alianza Para el Progreso, Luis Iberico, justificó que el líder de su partido, César Acuña, desconozca el origen de los aportes a su campaña política, señalando que “un candidato solo tiene la misión de ser candidato”.|17/12/2015|614.38||139||Luis Carlos Antonio Iberico Nuñez|César Acuña Peralta|Positivo|2015-12
Web|Gestión|gestion.pe|Confiep: Proponer incremento del sueldo mínimo en campaña presidencial es facilista|¿Existe la posibilidad de aumentar el sueldo mínimo en el próximo gobierno? Si, porque es una prerrogativa política del presidente de la República; pero si le preguntamos a las pequeñas empresas si esto es factible la respuesta será otra, señaló Martín Pérez Monteverde, presidente de la Confiep...En ese sentido, calificó las propuestas de los candidatos presidenciales César Acuña y Pedro Pablo Kuczysnki de incrementar el sueldo mínimo como poco audaces.|16/12/2015|295.49||0||Martín Pérez Monteverde|César Acuña Peralta|Negativo|2015-12
Web|Perú 21|peru21.pe|César Acuña: Video de ""plata como cancha"" podría hundir a candidato de Alianza Para el Progreso|El Poder Judicial de La Libertad programó para este 6 de enero la audiencia de apelación en la que se determinará si el candidato presidencial César Acuña va o no a juicio oral por el presunto delito de inducción al voto. Ello debido a que, en el video denominado ‘plata como cancha’, el exalcalde de Trujillo se habría referido a la presunta entrega de víveres a cambio de votos durante la campaña electoral para tentar la reelección al municipio...(...) Según la denuncia, varias de las compañías tenían como domicilio sedes de la Universidad César Vallejo, de propiedad del líder de APP, quien en su momento aseguró que acudirá a la diligencia.|28/12/2015|1874.83||0||Jorge Seminario|César Acuña Peralta|Neutro|2015-12
Televisión|Willax|Mira Quién Habla|Tras los aportes fantasmas en el partido de Acuña (Willax)|El periodista Christopher Acosta de la Unidad de Investigación de “El Comercio” informó que viene investigando desde hace dos meses los aportes de APP. Precisó que para su indagación utiliza los padrones de aportantes del partido de César Acuña que son públicos en el portal de la ONPE. Por otro lado, se recordó que la primera semana de enero el Poder Judicial de Trujillo definirá si se inicia juicio contra líder del APP por haber dado 57 mil soles a un cineasta para un documental que nunca se realizó en el 2012. Más adelante, se manifestó que Fuerza Popular y el Apra vienen siendo investigados por el Ministerio Público bajo la sospecha de lavado de activos para el financiamiento de sus campañas anteriores. Sus principales dirigentes han reclamado al JNE pues señalan que la ley actualmente viene fallando.|16/12/2015|4216||527||Christopher Acosta|César Acuña Peralta|Neutro|2015-12
Web|RPP|rpp.com.pe|Urresti: Acuña tiene doctorados y maestrías sin concluir la primaria|El exministro del Interior, Daniel Urresti, se refirió este jueves irónicamente sobre el candidato presidencial por Alianza Para el Progreso (APP), César Acuña, quien según los recientes sondeos lucha junto a Pedro Pablo Kuczynski para ocupar el segundo lugar de las preferencias electorales. (...) En septiembre del año pasado, el abogado aprista Carlos Calderón Carvajal denunció a César Acuña ante el Jurado Nacional de Elecciones (JNE) por no haber presuntamente concluido sus estudios de educación primaria. En esa fecha, el también empresario postulaba a la Presidencia regional de La Libertad.|10/12/2015|1700.92||0||Daniel Belizario Urresti Elera|César Acuña Peralta|Negativo|2015-12
Web|Exitosa|exitosadiario.pe|José Ignacio Beteta te sugiere evaluar estos factores antes de decidir tu voto|Les muestro una aplicación de esta “mirada a lo esencial”: un resultado sumamente positivo de la CADE 2015 es que tanto Keiko, PPK y César Acuña han tenido, con mayor o menor profundidad, ideas complementarias con respecto a la necesidad de promover a las micro, pequeñas y medianas empresas. El hecho de que los 3 punteros tengan la camiseta de los pequeños emprendedores es todo un logro que debemos valorar y una señal positiva, al menos a primera vista. ¿Sabes qué propuso cada uno sobre este tema?|09/12/2015|71.5||0||José Ignacio Beteta|César Acuña Peralta|Positivo|2015-12
Medio Impreso|Perú 21|Perú 21|Con la camiseta puesta|El presidente del Congreso, Luis Iberico, se puso la camiseta de Alianza Para el Progreso (APP) y salió ayer por la mañana a defender a su líder, César Acuña Peralta en el propio Palacio Legislativo, negando que sea el candidato presidencial de Nadine Heredia y del Partido Nacionalista.|11/12/2015|1079.56|126.04|0|6|Luis Carlos Antonio Iberico Nuñez|César Acuña Peralta|Positivo|2015-12
Televisión|RPP|RPP NOTICIAS - EDICIÓN MAÑANA |Candidatos a la vicepresidencia por APP defienden su postulación (RPP TV)|Los candidatos a la vicepresidencia de la República (Humberto Lay y Anel Townsend) que acompañan a César Acuña negaron que la alianza solo tenga fines electorales. Aseguraron que comparten ideas para el gobierno. Juan Carlos Gonzales, personero legal de Alianza para el Progreso, informó que se van a retirar los paneles gigantes en los cuales aparece César Acuña como presidente fundador de varias universidades. Aseveró que una cosa es el partido y otro la Universidad César Vallejo que cuenta con un rector quien debería responder los cargos de uso indebido de publicidad en favor de Acuña Peralta.|23/12/2015|1277.38||289||Humberto Lay Sun|César Acuña Peralta|Positivo|2015-12
Televisión|RPP|RPP NOTICIAS - EDICIÓN MAÑANA |Candidatos a la vicepresidencia por APP defienden su postulación (RPP TV)|Los candidatos a la vicepresidencia de la República (Humberto Lay y Anel Townsend) que acompañan a César Acuña negaron que la alianza solo tenga fines electorales. Aseguraron que comparten ideas para el gobierno. Juan Carlos Gonzales, personero legal de Alianza para el Progreso, informó que se van a retirar los paneles gigantes en los cuales aparece César Acuña como presidente fundador de varias universidades. Aseveró que una cosa es el partido y otro la Universidad César Vallejo que cuenta con un rector quien debería responder los cargos de uso indebido de publicidad en favor de Acuña Peralta.|23/12/2015|1277.38||289||Juan Carlos Gonzales Hidalgo|César Acuña Peralta|Positivo|2015-12
