Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|El Comercio|elcomercio.pe|Gregorio Santos postulará a la presidencia desde la cárcel|El ex gobernador regional de Cajamarca, Gregorio Santos, fue elegido como candidato presidencial de Democracia Directa. Santos se encuentra en este momento en el penal Piedras Gordas afrontando prisión preventiva por los presuntos delitos de cohecho pasivo, asociación ilícita para delinquir y colusión en agravio del Estado. (...) A través de sus redes sociales, Gregorio Santos ha aprovechado no solo para defender su candidatura, sino para atacar al gobierno de Ollanta Humala y a la postulación de Daniel Urresti en el oficialismo.|20/12/2015|5994.53||0||Gregorio Santos Guerrero|Daniel Urresti Elera|Negativo|2015-12
Web|Correo|diariocorreo.pe|El amigo elegido en la política - Jaime Asián Domínguez|Sabido es que, en nuestro país, la política es un chiste (y en forma recurrente de mal gusto). En ese entendido, y ad portas de las fiestas navideñas, qué tal si distribuimos algunos regalos entre estos congéneres que gobiernan o pretenden tomar las riendas del país luego de las elecciones del próximo año. Eso sí, el que se pica, pierde...César Acuña: Va para él una enciclopedia y un libro Coquito, para que aprenda a leer y escribir; así deja de hacer tanto roche cuando escribe tuits y lee discursos...Keiko Fujimori: Se ha hecho acreedora a un juego de Monopolio, porque ahí tiene el poder para meter y sacar de la cárcel a la gente (aló, ¿don Alberto?)...PPK: Ya que lo fastidian tanto con el tema de la edad y sus achaques, se lleva un kit completo de cremas antiarrugas y rejuvenecedoras...Alan García: De cajón una suscripción urgente a Netflix para que pueda ver la serie Narcos. Ahí está el detalle...Daniel Urresti: Está cantado el libro El completo manual del suicidio (Wataru Tsurumi). Solo él puede creer que pasará la valla electoral con el Partido Nacionalista.|14/12/2015|702.1||0||Jaime Asián Domínguez|Daniel Urresti Elera|Neutro|2015-12
Web|Perú 21|peru21.pe|Hija de Hugo Bustíos: “Susana Villarán no es jueza para dar por inocente a Daniel Urresti”|Luego que Susana Villarán indicara que tenía la convicción de que Daniel Urresti es inocente del asesinato de Hugo Bustíos, Sharmelí Bustíos, hija del periodista salió al frente para responderle.. “Ella no es jueza para dar como inocente a (Daniel) Urresti. Dejemos que el Poder Judicial dé su veredicto, por algo hay un juicio en marcha y nosotros seguimos el caso. Estamos luchando por el derecho a la justicia, por el derecho de mi familia de saber la verdad. Me parecen indignantes las declaraciones de la señora Susana Villarán”, refirió..|21/12/2015|1874.83||0||Sharmelí Bustíos Patiño|Daniel Urresti Elera|Negativo|2015-12
Radio|Exitosa|Exitosa Noticias|Entrevista a Sharmelí Bustíos, hija del fallecido periodista Hugo Bustíos (Exitosa)|Entrevista. Sharmelí Bustíos, hija del fallecido periodista Hugo Bustíos, dijo sentirse indignada por la integración de la exalcaldesa Susana Villarán al cuadro político de Daniel Urresti. Tras referirse sobre el fujirmorismo, Sharmelí calificó de “alianza nefasta” la unión entre Villarán y Urresti. Asimismo, se refirió acerca de las audiencias que se vienen llevando en el caso de su padre.|21/12/2015|504.63||267||Sharmelí Bustíos Patiño|Daniel Urresti Elera|Negativo|2015-12
Web|RPP|rpp.com.pe|Panorama del día: A Susana le duelen cuestionamientos pero su decisión ha sido tomada|“Los candidatos van presentándose en sociedad y adelantando propuestas, Toledo y Acuña estuvieron en la mañana en RPP Noticias con sus planchas presidenciales. Lourdes Flores dijo que presentarán su plan de gobierno en enero”, dijo Mariella Balbi. “De otro lado, el ministro del Interior, José Luis Pérez Guadalupe ha dicho que se somete a cualquier investigación porque su nombre ha sido mencionado en audios de delincuentes vinculados a “Caracol”. Es difícil creer que protege delincuentes, pero ellos lo mencionan, y habrá que investigar para salir de dudas”. ..|22/12/2015|1700.92||0||Mariella Balbi|Daniel Urresti Elera|Negativo|2015-12
Radio|Capital|Guido Lombardi|Entrevista al candidato oficialista Daniel Urresti y a la exalcaldesa Susana Villarán (Capital)|Entrevista. El candidato oficialista Daniel Urresti comentó que su amistad con la exalcaldesa Susana Villarán nació hace más de un año, cuando ambos ocupaban sus anteriores cargos y expresó que le solicitó que se una a su plancha porque es una persona honrada. Mientras tanto, Villarán reconoció que tras su periodo de alcaldesa, buscaba apoyar a las mujeres del interior del país, fuera de la política, sin embargo, el ascenso de la lideresa Keiko Fujimori, en las encuestas, le hizo cambiar de opinión, pues no quiere que el país caiga ante el 'fujimontesinismo'. Asimismo, precisó que aceptó la propuesta del nacionalismo puesto que bajo su punto de vista, Urresti nunca le falló a Lima. La nueva integrante de la plancha presidencial nacionalista criticó la posición de Vladimiro Huároc. La entrevista contó con la participación de los oyentes.|21/12/2015|8821.96||2572||Susana María del Carmen Villarán de la Puente|Daniel Urresti Elera|Positivo|2015-12
Televisión|Canal N|N Portada|Villarán: Le siguen lloviendo las críticas (Canal N)|Entrevista. Villarán recibe críticas no solo de oposición sino de excolaboradores por aliarse con Urresti. Al respecto, el regidor de la Municipalidad de Lima, Augusto Rey, refirió que le sorprendió decisión de Susana pero no la comparte por cuestionamientos a Daniel Urresti. De otro lado, la Comisión de Derechos Humanos envío un comunicado, donde consideran inaudita y sin precedentes alianza de Villarán con el candidato del partido nacionalista, Daniel Urresti, quien sigue un proceso judicial abierto por el asesinato del periodista Hugo Bustíos.|22/12/2015|8946||639||Augusto Rey Hernández de Agüero|Daniel Urresti Elera|Neutro|2015-12
Web|El Comercio|elcomercio.pe|“Susana Villarán no es jueza para dar por inocente a Urresti”|La ex alcaldesa de Lima Susana Villarán “no es jueza para dar por inocente” al candidato presidencial del Partido Nacionalista, Daniel Urresti, en el proceso penal por el crimen de Hugo Bustíos. Así lo afirmó la hija del periodista, Sharmelí Bustíos, quien consideró como “una decepción” la incorporación de la ex ministra de la Mujer a la plancha oficialista..Esta mañana, Villarán de la Puente dijo que tiene “la convicción” de que Urresti “no es ni autor material ni mediato” del asesinato de Bustíos, perpetrado por una patrulla militar en Ayacucho en noviembre de 1988. “Ella no es jueza para dar como inocente a Urresti. Dejemos que el Poder Judicial dé su veredicto, por algo hay un juicio oral en marcha, por algo hay audiencias y nosotros seguimos el caso. Estamos luchando por el derecho a la justicia, por el derecho de mi familia de saber la verdad. Me parecen indignantes las declaraciones de la señora Susana Villarán”, refirió.|21/12/2015|5994.53||0||Sharmelí Bustíos Patiño|Daniel Urresti Elera|Negativo|2015-12
Medio Impreso|La República|La República|Villarán reitera que confía en Urresti|La ex alcaldesa de Lima, Susana Villarán volvió a salir en defensa del candidato del Partido Nacionalista, Daniel Urresti, y respondió a quienes la han criticado por integrarse a su plancha presidencial.|23/12/2015|272.76|56.78|0|10|Susana María del Carmen Villarán de la Puente|Daniel Urresti Elera|Positivo|2015-12
Radio|Exitosa|Nicolás Lucar en Exitosa|Comentarios de Sigrid Bazán sobre temas de actualidad (Exitosa)|Vía telefónica. Sigrid Bazán informó acerca de la línea que sigue Verónika Mendoza como candidata de izquierda a la presidencia y la reciente inclusión de Susana Villarán a la plancha electoral de Daniel Urresti.|22/12/2015|929.88||492||Sigrid Bazán Narro|Daniel Urresti Elera|Neutro|2015-12
Medio Impreso|Correo|Correo|Macondo Electoral - Iván Slocovich Pardo|No hay duda de que, con lo visto en las últimas horas en el panorama electoral peruano, la desmesurada y genial imaginación de Gabriel García Márquez, uno de los padres del realismo mágico en Latinoamérica -esa corriente literaria donde lo extraño, absurdo e inimaginable sucede como si nada y sin que nadie levante una ceja-, ha quedado chica, pues las postulaciones de Nano Guerra García, el preso Gregorio Santos y Susana Villarán escapan de todo lo previsible y lógico. Comencemos con Guerra Garáa, quien hasta hace unos ellas era el casi anónimo precanctidato presidencial del Partido Humanista hasta que el líder de esta agrupación. Yehude Simon. decidió bajarle el dedo por ""no hacer clic"" con los electores. Ahora el hombre ha sido acogido por Solidaridad Nacional, cuyo dueño parece ser José Luna, quien antes quiso aliarse con Pedro Pablo Kuczynski, pero fue rechazado por pedir demasiado a cambio de aportar poco o nada a los “pepekausas”. Avanzaba la tarde de ayer y se confirmó que Susana Villarán, la autoproclamada reserva moral de la política peruana, defensora de los derechos humanos y constructora de ciudadanía, iba en la plancha de Daniel Urresti (procesado por asesinato), del Partido Nacionalista, cuya lideresa no puede explicar de dónde saca la plata.|21/12/2015|1807.59|189.86|0|11|Iván Slocovich Pardo|Daniel Urresti Elera|Negativo|2015-12
Radio|RPP|La Rotativa del Aire (Tercera Edición)|Entrevista a Víctor Andrés Ponce, analista político (RPP).|Enlace telefónico: El analista político Víctor Andrés Ponce sostuvo que la presencia de diversos actores políticos en las planchas presidenciales de los candidatos que buscan la presidencia de la República en el año 2016, es una expresión clara y contundente de esta democracia sin partidos políticos. ""Uno tiene que señalar que se tiene a Keiko Fujimori, Alan García, Pedro Pablo Kuczynski, Alejandro Toledo, y César Acuña, pero es bien difícil sostener que detrás de ellos hay una institucionalidad partidaria, una colectiva como se demanda en una sociedad abierta en general"", remarcó Ponce, quien también se refirió sobre la presencia de Anel Townsend en la plancha presidencia de César Acuña; y de Susana Villarán con el aspirante nacionalista Daniel Urresti. Finalmente, Ponce puntualizó que el avanzar hacia la cuarta elección consecutiva lo que crea es una institucionalidad fortalecida y eso demandará de alguna manera respuestas diferentes de los partidos y actores públicos en los próximos comicios del 2016.|21/12/2015|6336||576||Víctor Andrés Ponce|Daniel Urresti Elera|Neutro|2015-12
Web|La República|larepublica.pe|La cápsula de cianuro|Ingeniosas frases para la histeria política peruana:.El PPC ha firmado una alianza con la mafia. Daniel Urresti.|21/12/2015|1014.43||0||Augusto Álvarez Rodrich|Daniel Urresti Elera|Neutro|2015-12
Medio Impreso|Gestión|Gestión|Iberico: Urresti es un ‘insultólogo|No se guarda nada. Para el presidente del Congreso, Luis Iberico, la ausencia del Partido Nacionalista en la firma del Pacto Ético se debe a que su candidato, Daniel Urresti, ha empezado la campaña como un “insultólogo profesional”. Es por ello que el titular el Legislativo le restó importancia a las críticas que recibe el candidato presidencial de APP, César Acuña, y dijo que se trata de un amor serrano.|18/12/2015|612.52|48.07|0|28|Luis Carlos Antonio Iberico Nuñez|Daniel Urresti Elera|Negativo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|Predy Otárola niega violación a neutralidad electoral del Presidente|El congresista nacionalista, Fredy Otárola, aseguró que el presidente de la República, Ollanta Humala, no ha infringido la Ley Electoral y mantiene una neutralidad política. Otárola ofreció estas declaraciones al ser consultado sobre las últimas denuncias realizadas por la candidata de Fuerza Popular, Keiko Fujimori y la lideresa del Partido Popular Cristiano (PPC), Lourdes Flores señalando que Humala Tasso ha vulnerado este principio que debe cumplir todo mandatario en campaña electoral. (...) En otro momento, el legislador afirmó que la presencia de la exalcaldesa de Lima, Susana Villarán, en la plancha presidencial del candidato del Partido Nacionalista, Daniel Urresti, permitirá llegar a su agrupación política a sectores que todavía no están representados en el Congreso..|27/12/2015|1786.76|239.61|0|6|Fredy Rolando Otárola Peñaranda|Daniel Urresti Elera|Positivo|2015-12
Web|Expreso|expreso.com.pe|La agonía Humalista-César Campos R.|“Así habla el pueblo”, “al pan pan, y al vino vino”, le dice a los corifeos nacionalistas. Y estos –con el candidato Daniel Urresti a la cabeza– lo validan a través de las plazas y redes sociales. Total, el comedido ministro de Educación Jaime Saavedra endosa con su presencia en el Gabinete la membresía académica de tan vasta coprolalia organizada.|27/12/2015|52||0||César Campos Rodríguez|Daniel Urresti Elera|Neutro|2015-12
Web|Correo|diariocorreo.pe|Margarita Patiño: “Villarán se alió a un procesado por DD.HH.”|Entrevista. Margarita Patiño, la viuda del periodista Hugo Bustíos. (...) ¿Qué sintió al ver a Susana Villarán junto a Daniel Urresti? ..Nosotros estamos decepcionados porque ella siempre fue una defensora de los derechos humanos. Fue miembro de la Comisión Interamericana de Derechos Humanos. Es la primera vez en la historia -de la región- que una defensora de los derechos humanos hace alianza con un procesado por lesa humanidad. Es decepcionante. Es una traición a tanta justicia que buscamos miles de peruanos que no hemos podido tener voz. ¡Qué pena esto!|23/12/2015|702.1||0||Margarita Patiño de Bustíos|Daniel Urresti Elera|Negativo|2015-12
Web|Andina|andina.com.pe|Villarán responde críticas y defiende su inclusión en plancha nacionalista|La exalcaldesa de Lima, Susana Villarán, respondió a las críticas lanzadas contra su incorporación a la plancha presidencial del Partido Nacionalista Peruano (PNP), al afirmar que ""hay cosas que el gobierno actual ha hecho muy bien"", además de considerar que es el espacio adecuado para luchar contra el fujimorismo. (...) En cuanto a los cuestionamientos contra el candidato presidencial nacionalista, Daniel Urresti, la exalcaldesa indicó que este ""más allá de estilos personales, tiene la decisión, la energía y las convicciones necesarias para enfrentar los desafíos de nuestro país"".|22/12/2015|98.6|2038.41|0||Susana María del Carmen Villarán de la Puente|Daniel Urresti Elera|Positivo|2015-12
Medio Impreso|Trome|Trome|Dan con palo a Susana|Las críticas a Susana Villarán por integrar la plancha presidencial del nacionalismo, al lado de Daniel Urresti (enjuiciado por el asesinato del periodista Hugo Bustíos, en 1988), no solo vinieron de sus adversarios políticos, sino también de personas cercanas. (...) En tanto, el exregidor Augusto Rey le dijo a Villarán que 'existe muchas maneras de combatir al fujimorismo, pero al lado de Urresti no es una de ellas"".|23/12/2015|7966.46|326.28|0|8|Augusto Rey Hernández de Agüero|Daniel Urresti Elera|Neutro|2015-12
