Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|La Razón|La Razón|El tiempo que se nos viene - Martín Belaunde M.|El 2016 es un año electoral en el cual el pueblo deberá decidir nuestro destino político para el próximo quinquenio, pero cuyas proyecciones pueden ser graves si el nuevo gobierno desarrolla una mala gestión o pretende perpetuarse. (...) El fujimorismo, con su candidata Keiko firme con un 30% en las encuestas, heredera política de su padre, pero discrepante de su progenitor por su deseo de superar los aspectos más ingratos de su gobierno. (...) ¿Qué ocurre con PPK? Se mantiene en segundo lugar pero 15 % por debajo de Keiko y con Acuña pisándole los talones. (...) ¿Y qué pasa con César Acuña y Alan García que se disputan el tercer lugar? (...) Finalmente en este cuadro, ¿qué pasa con Solidaridad, captará una parte del voto limeño de Castañeda superior al 50%? Eso depende del candidato Guerra García y más probablemente del propio Castañeda si decide invo!ucrarse en la Icampaña|30/12/2015|1395.93|237.18|0|6|Martin Belaunde Moreyra|Hernando Guerra-García Campos|Neutro|2015-12
Radio|Radio Nacional|Nacional en la Noticia|Entrevista a congresista Yehude Simon (Nacional)|Entrevista. El líder del Partido Humanista y congresista, Yehude Simon, refirió a la precandidatura de Gonzalo Guerra García a la presidencia en los comicios del 2016, asimismo, reveló que no participó directamente en dichas elecciones por la falta de unidad en la izquierda. En tanto, consideró que un gran porcentaje de electores aún no decide su voto, por tanto, es a ellos a quienes hay que dirigirse. De otro lado, Simon hizo un análisis de los candidatos como Alan García, Keiko Fujimori, César Acuña y Pedro Pablo Kuczynski, en función de posibles alianzas.|02/12/2015|1444.78||1363||Yehude Simon Munaro|Hernando Guerra-García Campos|Neutro|2015-12
Medio Impreso|Correo|Correo|Macondo Electoral - Iván Slocovich Pardo|No hay duda de que, con lo visto en las últimas horas en el panorama electoral peruano, la desmesurada y genial imaginación de Gabriel García Márquez, uno de los padres del realismo mágico en Latinoamérica -esa corriente literaria donde lo extraño, absurdo e inimaginable sucede como si nada y sin que nadie levante una ceja-, ha quedado chica, pues las postulaciones de Nano Guerra García, el preso Gregorio Santos y Susana Villarán escapan de todo lo previsible y lógico. Comencemos con Guerra Garáa, quien hasta hace unos ellas era el casi anónimo precanctidato presidencial del Partido Humanista hasta que el líder de esta agrupación. Yehude Simon. decidió bajarle el dedo por ""no hacer clic"" con los electores. Ahora el hombre ha sido acogido por Solidaridad Nacional, cuyo dueño parece ser José Luna, quien antes quiso aliarse con Pedro Pablo Kuczynski, pero fue rechazado por pedir demasiado a cambio de aportar poco o nada a los “pepekausas”. Avanzaba la tarde de ayer y se confirmó que Susana Villarán, la autoproclamada reserva moral de la política peruana, defensora de los derechos humanos y constructora de ciudadanía, iba en la plancha de Daniel Urresti (procesado por asesinato), del Partido Nacionalista, cuya lideresa no puede explicar de dónde saca la plata.|21/12/2015|1807.59|189.86|0|11|Iván Slocovich Pardo|Hernando Guerra-García Campos|Negativo|2015-12
Medio Impreso|Diario Uno|Diario Uno|El voto inesperado - César Lévano|La encuestadora lmasen halló una sorpresa en su sondeo llevado a cabo entre el 26 de noviembre y el 1 de diciembre. A la pregunta: ¿usted votaría por alguien de izquierda para la presidencia de la República?"", 7.2 por ciento respondió: ""definitivamente sí"", y 19.5 declaró: ""probablemente sí"". En suma, un potencial 26.7 por ciento (...) Por lo demás, Imasen confirma en sus puestos a los candidatos favoritos de la Conferencia Anual de Empresarios (CADE). Keiko Fujimori está en la punta, con 33.2 por ciento. Le siguen PPK, con 15.4; César Acuña, con 10.9 y Alan García, con 8.6. Alejandro Toledo obtuvo 4.6 y Verónika Mendoza 2.0. En la lista que, bajo el rubro de otros, cosecha colectivamente 2.8 por ciento figuran Ántero Flores-Aráoz, Romulo Mucho, Miguel Hilario, Renzo Reggiardo, Julio Guzmán, Alfredo Barnechea, José Luna, Gonzalo García, Nono Guerra Garcia, Ricardo Belmont y Hernando de Soto|04/12/2015|2339.75|245.78|0|2|César Lévano|Hernando Guerra-García Campos|Neutro|2015-12
Web|La República|larepublica.pe|Promesas 2016|No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|1014.43||0||Renato Cisneros|Hernando Guerra-García Campos|Negativo|2015-12
Medio Impreso|La República|La República - Suplemento Domingo|Promesas 2016 - Renato Cisneros|Ver de una vez por todas «El Despertar de la Fuerza» y dejar de sufrir los comentarios sembrados en las redes por maliciosos spoilers que no se compadecen de los fans de «Star Wars» que no hemos podido ver aún el nuevo episodio de la saga. He leído por ahí que muere Han Solo. Espero que se trate de una broma. Festejar con moderación los cuarenta años de mi nacimiento y, al hacerlo, colgar simbólicamente los chimpunes de los viejos desbandes con que antes solía homenajear esa efeméride. Casarme con Natalia delante de un código civil y, dos días después, delante de una gran cruz, y bailar el vals con empeñoso decoro frente a los invitados, y luego brindar con ellos y allí sí ahondar en los excesos con que es menester celebrar los acontecimientos felices que uno juzga definitivos. No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|2549.04|817.44|0|23|Renato Cisneros|Hernando Guerra-García Campos|Negativo|2015-12
Web|Correo|diariocorreo.pe|JEE evalúa caso de Acuña, Luna y García por uso de universidades|El Jurado Electoral Especial (JEE) Lima Centro 1 evalúa informes sobre uso de recursos de universidades a favor de las campañas electorales de César Acuña, José Luna y Alan García, informó hoy el director nacional de Fiscalización del Jurado Nacional de Elecciones (JNE), Alberto Kuroiwa...“Se apreciaron tres casos de uso de recursos de universidades a favor de campañas, el primero fue de César Acuña. El informe de fiscalización ya fue entregado al Jurado Electoral Especial Lima Centro 1, que es la primera instancia y estamos a la espera de la resolución de dicho caso”, dijo.|31/12/2015|702.1||0||Alberto Kuroiwa Bermejo|Hernando Guerra-García Campos|Neutro|2015-12
Medio Impreso|Correo|Correo|La frase|""Nano Guerra crea nueva modalidad de transfuguismo: cambiar de partido antes de ser candidato. Yehude está furioso por haber sido superado"". Jorge Villena. Pepecista y exregidor de Lima.|24/12/2015|679.04|71.28|0|4|Jorge Rafael Villena Larrea|Hernando Guerra-García Campos|Negativo|2015-12
Medio Impreso|Del País|Del País|Lluvia de candidatos - Jimmy Torres C.|No cabe duda que nuestro país es muy rico, pero muy rico. Hay mucho dinero y eso se demuestra por la gran cantidad de candidatos presidenciales. La pugna por llegar al sillón de Pizarro es intensa y todo vale. Pero, habrá que preguntarse todos los candidatos e integrantes de su plancha si tiene vocación de servicio al Estado o es la simple enfermedad de saciar el apetito de poder. Entre los que postulan la gran mayoría ya ocupo cargos, saben lo que es estar con automóvil, chofer, seguridad, gastos de representación y una vida artificial .Lo que si causa gracia es la plancha presidencial que lideraran Alfredo Barnechea, Fernando Olivera, Daniel Urresti, Yehude Simón, Alejandro Toledo y de Hernando Guerra García.|21/12/2015|933.3|255.67|0|2|Jimmy Torres Carrasco|Hernando Guerra-García Campos|Negativo|2015-12
Web|La República|larepublica.pe|Cambalache - Nelson Manrique|El epicentro de la descomposición política en curso está constituido por el entorno de los colaboradores que rodearon a Susana Villarán en su gestión edil y en la lucha contra la revocatoria. En una breve enumeración destacan los casos de Nano Guerra García, propuesto por Villarán como candidato presidencial de Fuerza Social el 2011, que emigró primero al Partido Humanista de Yehude Simon, para luego recalar como candidato presidencial en el partido de Luis Castañeda Lossio, precisamente uno de los artífices del intento de revocatoria. Vladimiro Huaroc, ex-presidente de Fuerza Social, el partido fundado por Villarán, decidió incorporarse al equipo de Keiko Fujimori. Anel Townsend, dirigente en la campaña contra la revocatoria, se incorporó al partido de César Acuña (Yehude Simon afirmó en Twitter que Susana Villarán lo invitó a sumarse a este proyecto, y su afirmación no ha sido desmentida). Ahora se vocea la incorporación de Susel Paredes y Augusto Rey al partido de PPK. Ya ellos se encargarán de negarlo o confirmarlo.|29/12/2015|1014.43||0||Nelson Manrique|Hernando Guerra-García Campos|Neutro|2015-12
