Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|Perú 21|Perú 21|Los que no tienen plata también juegan - Carlos Basombrío Iglesias|En mi opinión, estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave, que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber, hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y, ojo, más allá de simpatías o mías, hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos, pero es importante que se escuchen, también, las voces de Mendoza, Barnechea, Belmont, Flores-Aráoz, Reggiardo, Simon, Hilario y Guzmán.|20/12/2015|2902.34|247.02|0|5|Carlos Miguel Ramón Basombrío Iglesias|Julio Guzmán Cáceres|Positivo|2015-12
Medio Impreso|La República|La República|El 36% de peruanos todavía no deciden por quién votar el 2016|Si bien hasta el momento el partido político con mayor respaldo en intención de voto es Fuerza Popular, que tiene 30%, el último sondeo de GfK revela otra cifra estadística mayor, que seguramente será materia de análisis de los jefes de campaña: un 36% de peruanos aún no sabe por quién votará en las elecciones generales del 2016. (...) David Sulmont destacó que Fuerza Popular y el Apra son los dos únicos partidos de esta campaña que tienen ""identidades políticas formadas en el país"". Eso no ocurre con los partidos de César Acuña y Pedro Pablo Kuczynski.|21/12/2015|7390.24|1100.06|0|7|Luis Benavente Gianella|Julio Guzmán Cáceres|Neutro|2015-12
Web|Correo|diariocorreo.pe|¿Usted entiende esto? - Juan Carlos Valdivia|Con Nadine trabajaron por un tiempo Verónica Mendoza y Sergio Tejada que se han reunido con Marisa Glave y otros exregidores de Villarán para impulsar un proyecto de izquierda...De Villarán también fue socio Vladimiro Huaroc en Fuerza Social (fundada por el primero, pero que se la quedo la segunda). Hoy Huaroc es candidato a la vicepresidencia por el fujimorismo. Huaroc ha sido funcionario de este gobierno en la PCM, donde compartió labores con Julio Guzmán, también exfuncionario de este gobierno y autodenominado “outsider”. Otra socia de Villarán ha sido Anel Townsend, quien ahora es candidata con Acuña.|23/12/2015|702.1||0||Juan Carlos Valdivia|Julio Guzmán Cáceres|Neutro|2015-12
Web|La República|larepublica.pe|El fujimorismo ya ganó - Marco Sifuentes|(...) Paradójicamente, el único esfuerzo por construir una alianza institucional entre dos partidos con cuadros, trayectoria y, ahora, posiciones ideológicamente convergentes es… el matrimonio Apra-PPC. Caricaturizada como un joint-venture de Oropeza y Cataño, ha provocado un rechazo instintivo en la mayoría de votantes. Después de todo, el PPC ya ha sido aliado de PPK, de Acuña y de Solidaridad. ¿Y ahora compite contra ellos? En el papel puede verse como una alianza de la derecha institucional pero –y esto lo percibe cualquier persona medianamente informada– es simplemente una medida desesperada para pasar la valla.|16/12/2015|1014.43|34.18|0||Marcos Sifuentes|Julio Guzmán Cáceres|Neutro|2015-12
Televisión|Canal N|Con otros ojos |Entrevista al comunicador Sandro Venturo (Canal N)|Entrevista. Sandro Venturo, comunicador, comentó acerca de los mensajes de los candidatos a la presidencia. Señaló que durante el CADE los candidatos se vieron obligados a emitir un mensaje que antes no habían tomado en cuenta. También, manifestó que los demás se vieron obligados a otorgar un mejor mensaje, a raíz de la subida de Acuña. Posteriormente, indicó que Keiko Fujimori ha mejorado en la comunicación de temas complicados, sin embargo aún le falta respuestas contundentes cuando se refiere al gobierno de su padre. Con respecto a la campaña de Pedro Pablo Kuczynski, sostuvo que no es conocido en zonas rurales. Sobre la candidatura de Alejandro Toledo, dijo que le da pena su manera cómica de comportarse. También, se refirió a las candidaturas de Julio Guzmán y Verónika Mendoza. .|16/12/2015|24167||1859||Sandro Venturo Schultz|Julio Guzmán Cáceres|Neutro|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Verano de definiciones|Solo un candidato ha logrado ganar la presidencia; en las últimas tres elecciones, luego de haber liderado la intención de voto en diciembre. Fue Alejandro Toledo en el 2001. Ni Lourdes Flores ni Luis Castañeda pudieron celebrar una victoria en el 2006 y 2011, respectivamente.|28/12/2015|10018|1560.21|0|2|Luis Benavente Gianella|Julio Guzmán Cáceres|Neutro|2015-12
Web|Andina|andina.com.pe|En enero empezará ""lucha frontal"" por conquistar segundo lugar en encuestas|Los próximos meses de campaña electoral se caracterizarán por ser una ""lucha frontal"" por conquistar el segundo lugar de las preferencias electorales, en la que el factor Daniel Urresti jugará un rol importante, manifestó hoy el analista político, Luis Benavente. ""Se van a concentrar en una lucha frontal por el segundo lugar porque lo otro (buscar el primer lugar) va a llevar a un desgaste demasiado grande y las posibilidades son mínimas"", precisó. ..Por tanto, indicó que Pedro Pablo Kuczynski, Alan García, César Acuña y Alejandro Toledo, concentrarán sus estrategia de campaña en confrontar con sus oponentes directos para sumar más votos y alcanzar la segunda vuelta.|17/12/2015|98.6||0||Luis Benavente Gianella|Julio Guzmán Cáceres|Neutro|2015-12
Web|El Comercio|elcomercio.pe|Miss Universo: todo es ‘armani’, por Pedro Canelo|(...) Que no sorprenda ver más escándalos ‘armani’ no solo en la farándula sino en la misma política. Ya los candidatos presidenciales están avisados. No se sorprenda, lector, si vemos un desmayo de Susana Villarán, una caída del estrado de PPK, un olvido de discurso de Acuña o hasta una pelea casi marital entre Alan y Lourdes. Ya si Julio Guzmán salta como ‘Zumba’, capaz sube al 5%. Pero no crea, todo es y será ‘armani’. Es la fórmula ganadora. Miss Universo fue trending topic mundial en Twitter por dos días consecutivos. Seis años después de esa inverosímil respuesta de Miss Panamá en la prueba de conocimientos recuperó la audiencia perdida. Tenían que hacerlo de nuevo por el ráting: los organizadores de Miss Universo no pudieron revivir a Confucio, pero al menos reinventaron la confusión.|24/12/2015|5994.53||0||Pedro Canelo|Julio Guzmán Cáceres|Neutro|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Las fórmulas del 2016 - Hugo Guerra|Quisiera celebrar el advenimiento del nuevo año con optimismo, pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral, hasta este punto, es un desastre , con pocas excepciones. La falta de consistencia ideológica , organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos , pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder , sino a asaltar el Estado. (...) Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre.|28/12/2015|2981.55|325.64|0|16|Hugo Guerra Arteaga|Julio Guzmán Cáceres|Negativo|2015-12
Web|Andina|andina.com.pe|Acuña: No hemos conversado con Susana Villarán sobre su incorporación|El candidato presidencial de Alianza para el Progreso, César Acuña, descartó hoy una eventual incorporación de la exalcaldesa de Lima, Susana Villarán a su agrupación política las elecciones generales de 2016...""Susana Villarán es una mujer que tiene toda nuestra estima y respeto pero no hemos conversado sobre su eventual incorporación, o sea esos son solo rumores que no corresponden"", precisó...(...) Hoy, la exburgomaestre que renunció a su partido Fuerza Social, indicó que participará en las elecciones de 2016, aún cuando había señalado, tras superar la revocatoria, que no se presentaría a ningún cargo de elección popular...A través de sus redes sociales, reveló que cambió de decisión ante la posibilidad de que el fujimorismo vuelva a ser gobierno...En ese proceso, indicó, que había conversado con César Acuña, con Pedro Pablo Kuczynski, Alfredo Barnechea, Ántero Flores-Aráoz, Yehude Simon, con Julio Guzmán y líderes y lideresas de izquierda.|13/12/2015|98.6||0||Susana María del Carmen Villarán de la Puente|Julio Guzmán Cáceres|Neutro|2015-12
