Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Televisión|RPP|Las 5 de las 7|Entrevista a los analistas políticos Marisa Glave, Cecilia Blume y Pedro Tenorio sobre la guerra en los partidos por curules (RPP TV)|Guerra en los partidos por curules. La politóloga Cecilia Blume comentó que Keiko Fujimori ha aclarado en la CADE que ella es la jefa de su partido y quiere sangre nueva. A su turno, el periodista especializado en temas políticos Pedro Tenorio indicó que esta situación es consecuencia de la relación que Keiko ha forjado con su bancada en los últimos dos años. Luego la analista política Marisa Glave señaló que Luis María Cuculiza en la única que se podría quedar en la lista de Keiko, porque los demás fujimoristas están muy vinculados a la política de su padre.|17/12/2015|4221.1||955||Pedro Tenorio Narváez|Keiko Fujimori Higuchi|Neutro|2015-12
Radio|RPP|Siempre en Casa|Congresista Luz Salgado niega discrepancias en el fujimorismo (RPP)|Despacho. La congresista Luz Salgado calificó de pertinente las evaluaciones que Fuerza Popular realiza a sus integrantes a fin de conformar la lista congresal para las elecciones generales del próximo año. En ese sentido, indicó que todos los partidos políticos deberían hacer este tipo de evaluaciones. Finalmente, dijo que siempre hará política independientemente de si su lideresa partidaria Keiko Fujimori no apoya su postulación al Parlamento.|17/12/2015|1375||125||Luisa María Cuculiza Torre|Keiko Fujimori Higuchi|Positivo|2015-12
Web|Perú 21|peru21.pe|Ausencia cultural II, por David Flores-Hora [Opinión]|Continuando la reflexión de la semana pasada, vale la pena aclarar que ninguno de los documentos consultados es un plan oficial de gobierno. Sin embargo, dejan en claro el desinterés por vincular cultura con la política estatal...– Fuerza Popular (Keiko Fujimori). Cultura es lo más lejano para la hija del dictador. Resulta extraño que quien lidera las encuestas no tenga –a la fecha– ninguna propuesta (en economía, seguridad, lucha contra la corrupción, servicios públicos, etc.) que pueda difundir en su portal...– Partido Aprista Peruano (Alan García Pérez). Esta agrupación es la única –de las consultadas– que incluye en su portal un resumen de su plan de gobierno. Lamentablemente, es fechado en enero de 2010 y –obviamente– no hace alusión a políticas culturales.|12/12/2015|1874.83||0||David Flores Hora|Keiko Fujimori Higuchi|Negativo|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Naranja exprimida|Keiko Fujimori anunció que tres de los congresistas más cercanos al encarcelado expresidente Alberto Fujimori no estarán en su lista parlamentaria. Analistas políticos consideran que esta decisión se tomó pensando en la segunda vuelta. En conferencia de prensa, Fujimori Higuchi anunció los resultados de la evaluación que una comisión de su partido llevó a cabo en los úlumos meses para determinar quiénes debíanir a la reelección. De los 34 congresistas que integran su bancada, 18 no buscarán una curul en las próximas elecciones, algunos por decisión propia y otros por recomendación.|30/12/2015|10647.34|1658.92|0|2|Luisa María Cuculiza Torre|Keiko Fujimori Higuchi|Neutro|2015-12
Web|Canal N|canaln.pe|Martha Chávez: El objetivo es que Keiko Fujimori sea presidenta Congresista habló sobre el anunció que no postulará a la reelección en las elecciones del 2016.|Martha Chávez sostuvo que el objetivo de Fuerza Popular es lograr que Keiko Fujimori sea presidenta. Esto en relación a su exclusión en la lista de candidatos al Congreso.|30/12/2015|104|99.81|0||Martha Gladys Chávez Cossío|Keiko Fujimori Higuchi|Positivo|2015-12
Radio|Exitosa|Milagros Leiva en Exitosa |Analista político Luis Benavente opina sobre preferencias electorales (Exitosa)|Vía telefónica. El analista político Luis Benavente comentó sobre los últimos resultados de la encuesta de Datum respecto a las preferencias electorales, además del empate técnico registrado entre PPK y César Acuña. Indicó que la unión de Acuña con Humberto Lay habría sido favorable en un momento, pero recordó que estas cifras fueron tomadas antes de la presentación de estos ante la CADE 2015. Sobre Keiko Fujimori, refirió que ella si bien cuenta con un 35% de votos válidos, no podría ganar en primera vuelta.|07/12/2015|1211.49||641||Luis Benavente Gianella|Keiko Fujimori Higuchi|Neutro|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""No habrá gran transferencia de votos desde el PPC a Alan""|Entrevista a analista político Luis Benavente. - ¿En el caso de Alianza para el Progreso, de César Acuña, ha terminado por aliarse con Somos Perú. /, También se juntan para pasar la valla? Creo que es lo mismo que en el caso del PPC, pues también quieren tener presencia congresal, pero la diferencia con los pepecistas es que Somos Perú no tienen problemas de división. No creo que un representante de Somos Perú integre la plancha presidencial de Acuña, quien es un grande que suma a un pequeño. Acuña está comenzando a generar una expansión centrífuga; se sabe que los partidos nacionales suman votos de regiones y en su caso es al revés. (...) - En el caso de Solidaridad Nacional, parece que han decidido irse con una fujimorista, Luisa María Cuculiza.. Aparentemente han sido ninguneados por PPK. (...) ¿Cómo ve el hecho que personajes progresistas como Vladimiro Huaroc, Anel Townsend y, al parecer, Susana Villarán vayan sumarse a Keiko y Acuña, quienes son vinculados con hechos de corrupción? Es que la izquierda está muy dividida, solo queda una pequeña unidad representada en Verónika Mendoza y que no incluye al sector de Villarán, Nano Guerra, entre otros.|13/12/2015|5756.52|770.67|0|6|Fernando Tuesta Soldevilla|Keiko Fujimori Higuchi|Neutro|2015-12
Televisión|Panamericana TV|24 Horas (Mediodia)|Alejandro Aguinaga y Martha Chávez respaldan decisión de Keiko de no llevarlos en plancha congresal (Canal 5)|Alejandro Aguinaga y Martha Chávez se pronunciaron sobre la decisión de Keiko Fujimori de no incluirlos en las listas congresales para las próximas elecciones. Ambos señalaron que toman el hecho con calma y que respetarán las decisiones del partido.|30/12/2015|9295||125||Martha Gladys Chávez Cossío|Keiko Fujimori Higuchi|Neutro|2015-12
Web|El Comercio|elcomercio.pe|Humala cree que Keiko tiene ocasión para deslindar de su padre|El presidente Ollanta Humala consideró que la candidata presidencial de Fuerza Popular, Keiko Fujimori, tiene una oportunidad para deslindar del gobierno de su padre, el encarcelado ex mandatario Alberto Fujimori.. (...) De otro lado, Ollanta Humala reiteró que el próximo gobernante debe continuar con los programas sociales y la política educativa de su gestión. ""No creo que haya alguien que vaya contra Beca 18. Sería un loco o algo así"", refirió.|24/12/2015|5994.53||0||Ollanta Moisés Humala Tasso|Keiko Fujimori Higuchi|Neutro|2015-12
Web|Correo|diariocorreo.pe|El amigo elegido en la política - Jaime Asián Domínguez|Sabido es que, en nuestro país, la política es un chiste (y en forma recurrente de mal gusto). En ese entendido, y ad portas de las fiestas navideñas, qué tal si distribuimos algunos regalos entre estos congéneres que gobiernan o pretenden tomar las riendas del país luego de las elecciones del próximo año. Eso sí, el que se pica, pierde...César Acuña: Va para él una enciclopedia y un libro Coquito, para que aprenda a leer y escribir; así deja de hacer tanto roche cuando escribe tuits y lee discursos...Keiko Fujimori: Se ha hecho acreedora a un juego de Monopolio, porque ahí tiene el poder para meter y sacar de la cárcel a la gente (aló, ¿don Alberto?)...PPK: Ya que lo fastidian tanto con el tema de la edad y sus achaques, se lleva un kit completo de cremas antiarrugas y rejuvenecedoras...Alan García: De cajón una suscripción urgente a Netflix para que pueda ver la serie Narcos. Ahí está el detalle...Daniel Urresti: Está cantado el libro El completo manual del suicidio (Wataru Tsurumi). Solo él puede creer que pasará la valla electoral con el Partido Nacionalista.|14/12/2015|702.1||0||Jaime Asián Domínguez|Keiko Fujimori Higuchi|Neutro|2015-12
Web|Exitosa|exitosadiario.pe|José Ignacio Beteta te sugiere evaluar estos factores antes de decidir tu voto|Les muestro una aplicación de esta “mirada a lo esencial”: un resultado sumamente positivo de la CADE 2015 es que tanto Keiko, PPK y César Acuña han tenido, con mayor o menor profundidad, ideas complementarias con respecto a la necesidad de promover a las micro, pequeñas y medianas empresas. El hecho de que los 3 punteros tengan la camiseta de los pequeños emprendedores es todo un logro que debemos valorar y una señal positiva, al menos a primera vista. ¿Sabes qué propuso cada uno sobre este tema?|09/12/2015|71.5||0||José Ignacio Beteta|Keiko Fujimori Higuchi|Positivo|2015-12
Medio Impreso|Diario Uno|Diario Uno|Favoritos de las encuestas marcados por la corrupción|Keiko, PPK, García Acuña y Toledo tienen algún caso de corrupción pendiente con la justicia advierte exprocurador Julio Arbizu. Todos los candidatos que se perfilan en los primeros lugares de las encuestas tienen que responder por algún caso relacionado con la corrupción y es lamentable que la gente se esté acostumbrando a convivir con ella. dijo el exprocurador Julio Arbizu al comentar una reciente encuesta que sostiene que el 78% de los peruanos son tolerantes con la corrupción.(...) En Cade todos hicieron refrencias tangenciales y creo que eso evidencia una orfandad de ideas y de trabajo de los partidos para enfrentar este problema comentó,|11/12/2015|4804.6|387.92|0|7|Julio Arbizu González|Keiko Fujimori Higuchi|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Dime a quién te jalas… - Patricia del Río|PPK-el moqueguano: el gringo necesita un baño de provincias. El exitoso ex gobernador de Moquegua Martín Vizcarra, que hizo de su región un ejemplo de eficiencia, le aportará a la plancha de Kuczynski ese acercamiento al interior del país que Acuña tiene por su origen y Keiko por el gobierno fujimorista de su padre. Vizcarra lo puede ayudar, además, a cosechar votos en el sur, una plaza interesante y menos cautiva que el norte.|10/12/2015|5994.53||0||Patricia del Río Labarthe|Keiko Fujimori Higuchi|Neutro|2015-12
