Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|El Comercio|El Comercio Cuerpo A|Las fórmulas del 2016 - Hugo Guerra|Quisiera celebrar el advenimiento del nuevo año con optimismo, pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral, hasta este punto, es un desastre , con pocas excepciones. La falta de consistencia ideológica , organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos , pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder , sino a asaltar el Estado. (...) Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre.|28/12/2015|2981.55|325.64|0|16|Hugo Guerra Arteaga|Luis Fernando Olivera Vega|Negativo|2015-12
Televisión|RPP|Las 5 de las 7|Entrevista a los congresistas Mauricio Mulder y Juan José Díaz Dios sobre las planchas presidenciales (RPP TV)|Planchas presidenciales y alianzas que dejaron muertos y heridos. Sobre el particular, cuestionó el congresista Mauricio Mulder cuestionó que Vladimiro Huaroc sea vicepresidente del fujimorismo y apuntó que el partido de Fernando Olivera no está inscrito en el JNE. A su turno, el legislador Juan José Díaz Dios indicó que Huaroc es una garantía de que un eventual Gobierno de Keiko Fujimori no tendría odios. Luego, la periodista Patricia del Río apuntó Keiko que no tiene la experiencia que tiene Alan García, PPK o César Acuña.|21/12/2015|4318.34||977||Claude Maurice Mulder Bedoya|Luis Fernando Olivera Vega|Neutro|2015-12
Televisión|RPP|Central de Informaciones |El once de enero vence plazo para inscribir fórmulas presidenciales (RPP TV)|Entrevista. Hasta el próximo 11 de enero tienen plazo los partidos políticos para solicitar la inscripción de su fórmula presidencial ante el JEE. Gerardo Távara, secretario general de Transparencia, señaló que tenemos 19 partidos inscritos, 9 en cola y 100 que compraron kits electorales ante la ONPE en los últimos doce meses. Manifestó que de las 17 planchas presidenciales presentadas hasta el momento no hay ninguna formalmente inscritas. Távara señaló que los partidos Perú Libertario de Vladimir Cerrón, Perú Nación de Francisco Diez-Canseco y Progreso y Obras de Fernando Olivera estarían cerca a alcanzar su inscripción ante el JNE en el plazo requerido y por lo tanto presentar su fórmula presidencial. En otro momento, opinó sobre la presentación de Fudepp que no es otro partido que el Movadef. El invitado informó también sobre las herramientas que tienen los ciudadanos para conocer a los candidatos que se presentan a estas elecciones.|23/12/2015|2682.94||607||Gerardo Távara Castillo|Luis Fernando Olivera Vega|Positivo|2015-12
Medio Impreso|La República|La República|Fotochek de apuestas riesgosas - Mriko Lauer|Lourdes Flores. Fue buscada para levantar los bonos del Apra, y si esos bonos no suben ella va a sufrir los reproches de los dos partidos. En verdad la pelea interna del PPC se va a decidir en abril 2016. Si su perspectiva es volver al Congreso, por cierto que será un premio menor. ¿Obtendrá el primer lugar en la lista? Ántero Flores-Aráoz. Se está jugando un huachito radical. Él mismo declara que está candidateando por el placer de la competencia democrática. Como una suerte de generoso aviso luminoso de sí mismo. ¿Quién convenció a este hombre afable de que cartelones con horribles amenazas de la mano dura funcionan para una elección? Fernando Olivera. La suya ni siquiera es una apuesta riesgosa, sino un gambito de pérdida segura. Cuatro meses de vacilón politico, quizás con el propósito de reinstalarse como hombre-denuncia en el mercado. Pero en esto la competencia es dura, y él parece un poco fuera de práctica. Quizás Alejandro Toledo lo puede necesitar.|27/12/2015|1375.29|240.09|0|4|Mirko Lauer|Luis Fernando Olivera Vega|Neutro|2015-12
Medio Impreso|Del País|Del País|Lluvia de candidatos - Jimmy Torres C.|No cabe duda que nuestro país es muy rico, pero muy rico. Hay mucho dinero y eso se demuestra por la gran cantidad de candidatos presidenciales. La pugna por llegar al sillón de Pizarro es intensa y todo vale. Pero, habrá que preguntarse todos los candidatos e integrantes de su plancha si tiene vocación de servicio al Estado o es la simple enfermedad de saciar el apetito de poder. Entre los que postulan la gran mayoría ya ocupo cargos, saben lo que es estar con automóvil, chofer, seguridad, gastos de representación y una vida artificial .Lo que si causa gracia es la plancha presidencial que lideraran Alfredo Barnechea, Fernando Olivera, Daniel Urresti, Yehude Simón, Alejandro Toledo y de Hernando Guerra García.|21/12/2015|933.3|255.67|0|2|Jimmy Torres Carrasco|Luis Fernando Olivera Vega|Negativo|2015-12
Web|La República|larepublica.pe|Conmigo esto no sucedía - Augusto Álvarez Rodrich|La gente no vota el 24 de diciembre sino el 10 de abril. Alfredo Barnechea sobre las encuestas.|28/12/2015|1014.43||0||Augusto Álvarez Rodrich|Luis Fernando Olivera Vega|Neutro|2015-12
Medio Impreso|Del País|Del País|Psicopatología electoral - Dante Bobadilla|Cada vez estoy más convencido de que postular a la presidencia debería ser considerado un trastorno de personalidad en el manual de diagnósticos psiquiátricos. (...) Y lo mismo ocurre con Alejandro Toledo, convertido en un turista de la política, pues vive en EEUU y solo regresa cuando hay campaña electoral. (...) Muy cerca está Susana Villarán, quien además de padecer el típico trastorno de izquierdas: alucinarse ""luchador social"", pretende encarnar un personaje de cómic que es de luchadora contra el fujimorismo"", una especie de superhéroe de izquierda que ya está de capa caída. Su caso.ya no es el del típico Ioquito Napoleón sino del tipo Quijote: está dispuesta a embestir al monstruo de la corrupción que ve personificado en Keiko para salvar a la patria. Su pérdida de contacto con la realidad es total.|28/12/2015|1107.15|275.31|0|5|Dante Bobadilla|Luis Fernando Olivera Vega|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Las fórmulas del 2016 - Hugo Guerra|En cuanto a Alfredo Barnechea, es mucho candidato para un partido querido pero maltratado como Acción Popular. Los demás postulantes pequeños, Ántero Flores-Aráoz, Renzo Reggiardo y Julio Guzmán quizá en el 2021 sean una opción...Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre. Además, cuenta con el apoyo de un hombre muy valioso como José Chlimper, aunque la participación de Vladimiro Huaroc es absurda, lo mismo que el maltrato a personalidades como Martha Chávez.|28/12/2015|5994.53||0||Hugo Guerra Arteaga|Luis Fernando Olivera Vega|Negativo|2015-12
Televisión|Canal ATV Plus|Hora Clave|Entrevista al analista político Juan Carlos Valdivia (ATV+)|Entrevista. El analista político Juan Carlos Valdivia señaló que Keiko Fujimori esta mostrando voluntad para ser presidente; y en ese sentido, está dispuesta a tomar decisiones drásticas como separar de la lista al congreso a sus figuras antiguas. Sobre Pedro Pablo Kuczynski opinó que le falta la alegría y la juventud de los jóvenes, pues ahora está rodeado de exintegrantes de Perú Posible. En cuanto a César Acuña, señaló que el líder de APP tiene poco conocimiento y mucha plata. Asimismo, resaltó el crecimiento en las encuestas de Julio Guzmán en los sectores A y B. En otro momento, mencionó que el partido de Fernando Olivera ha recibido la autorización del Jurado Nacional de Elecciones luego de haber cumplido la fecha límite establecida.|30/12/2015|5445||1089||Juan Carlos Valdivia|Luis Fernando Olivera Vega|Neutro|2015-12
Web|Perú 21|peru21.pe|Alditus was right! - Aldo Mariátegui|(...) Sigamos con las arcadas como cancha: ¿qué hace un rojo de toda la vida como Huaroc con Keiko? ¿Qué hace una roja supuestamente consecuente como Rosa Mavila aliada con Yehude “Baguazo” Simon, divisionista de la izquierda y ex aliado aprista, ppkausa y toledista, amén de preso por vínculos con el MRTA? ¿Qué hace el maoísta de Patria Roja Gregorio Santos de aliado del fonavista Andrés Alcántara después de que este maltrató así al siomista García Núñez y todo ese sector de viejos de la izquierda? ¿Qué hace Lourdes Flores al lado de Alan después de que ella, a comienzos de los 90, probara todas las acusaciones contra este por BCCI, Mirages, etc…? ¿Qué hace un jurista respetable como Marco Ibazeta de compañero de fórmula de Belmont? ¿Qué hace un religioso como el pastor Lay al lado de un tipo como Acuña? ¿Tan desesperado está Solidaridad para no ir a la baja que recurre al recién choteado ‘Nano’? ¿Reggiardo, Barnechea, Guzmán, Pancho Diez Canseco y Popy creen de verdad que tienen alguna chance? ¿De dónde ha sacado Popy ese extravagante corte de pelo medieval?|22/12/2015|1874.83||0||Aldo Mariátegui Bosse|Luis Fernando Olivera Vega|Negativo|2015-12
Medio Impreso|Del País|Del País|Mescolanza electorera - Jimmy Torres C.|Ya están casi todas las planchas presidenciales. Son 19, cifra record y muchas de ellas no van a sobrevivir, pero es tan apetecible participar para algunos políticos que han sabido reengancharse y nuevamente están en el ajo dela política, para bien o para mal. Que dirá la cavariada en general sobre como Susana Villarán, ex alcaldesa de Lima esta nada menos que con Daniel Urresti, general del ejército en retiro y quien afronta un juicio por haber sido involucrado en el asesinato del periodista Hugo Bustios.|22/12/2015|911.34|249.52|0|2|Jimmy Torres Carrasco|Luis Fernando Olivera Vega|Negativo|2015-12
Medio Impreso|Perú 21|Perú 21|¡Mónica Sánchez, jua, jua, jua! - Aldo Mariátegui|-Lo mejor que le ha podido pasar a la derecha peruana se llama Susana Villarán. ¡Como bien señalaría el caricaturista rojo Carlín, es mi arma secreta! -¿Será cierta la teoría de Mulder de que Villarán se ha tragado tremendo sapo porque está buscando desesperadamente un blindaje congresal? Otros dicen que Nadine sabe algo y la ha obligado a candidatear. (...) -¿Quién será el “restador”, el “tonto útil” de esta elección que impedirá que otro candidato pase a la segunda vuelta al restarle el puntito necesario, como lo fueron antes Popy Olivera (2001) y Paniagua (2006) con Lourdes (a los dos se les pidió que se retiren para que no pase Alan)?|23/12/2015|1666.1|166.12|0|13|Aldo Mariátegui Bosse|Luis Fernando Olivera Vega|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|Por favor, desconectar - Beto Ortiz|Hoy, sin embargo, como me tocaba escribir, sucumbí a la tentación, rompí el ayuno y me metí a curiosear qué había pasado en mi país en tan prolongada ausencia. (...) Me encontré con que sujetos de la catadura del nefasto Popy Olivera, el matacabros Ricardo Belmont y el tirapiedra Goyo Santos inscribieron sus candidaturas presidenciales. Con que la reina de las malaguas Susana Villarán es ahora la vice de Urresti, con que la suprema arribista Anel Townsend logró trepar hasta vice de Acuña y la regia de regias, la tremenda jueza Carolina Lizárraga, es la nueva amiwi de Forever Alone Guzmán. (...) Ya se sabe que la Constitución establece que cualquier huevada puede postular, pero tampoco se maleen así, por mi madre-.Qué papelón. Que el siniestro ministro de Justicia del Cholo Sagrado, el inenarrable Olivera, la haya librado después de sus archiconocidas tropelías y conspiraciones contra Beatriz Merino, contra Cipriani y contra medio Perú, que hayan pasado piolaza sus nunca investigadas movidas “empresariales” cuando era embajador en España , vaya y pase.|27/12/2015|7873.74|748.68|0|11|Humberto Martín Ortiz Pajuelo|Luis Fernando Olivera Vega|Negativo|2015-12
