Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Radio|Exitosa|Juan Carlos Tafur en Exitosa|Comentarios de Daniel Urresti ante renuncia de Milton von Hesse (Exitosa)|Vía telefónica. A raíz de la renuncia del exministro Milton von Hesse a la precandidatura presidencial por el nacionalismo, el exministro Daniel Urresti aseguró que Von Hesse es una excelente propuesta para el partido debido al nivel de conocimiento técnico, sin embargo no descartó volver a presentarse como precandidato.|02/12/2015|1408.05||745||Daniel Belizario Urresti Elera|Milton von Hesse La Serna|Neutro|2015-12
Medio Impreso|Extra|Extra|Se sigue regalando|El exministro Daniel Urresti se mostró optimista con la posibilidad de volver a ser candidato presidencial por el Nacionalismo. ""Si el partido me llama, ahí estaré presente, siento mucha pena por Milton pero aún no hay nada oficial"", dijo Urrestí.|04/12/2015|168|42|0|4|Daniel Belizario Urresti Elera|Milton von Hesse La Serna|Neutro|2015-12
Televisión|Canal ATV Plus|ATV  Noticias de 3 a 5 |Urresti pedirá a Gana Perú ser candidato presidencial (ATV+)|Despacho. Tras culminar la audiencia por el caso Bustíos, el exministro del Interior Daniel Urresti, informó que va a enviar una carta a la lideresa de Gana Perú, Nadine Heredia, para que reconsidere su postulación a la presidencia. Previamente, elogió las cualidades del precandidato Milton Von Hesse. El reportero, se preguntó si Ana Jara tendrá algo que decir sobre la decisión de Urresti Elera.|01/12/2015|2008||502||Daniel Belizario Urresti Elera|Milton von Hesse La Serna|Positivo|2015-12
Web|Andina|andina.com.pe|Daniel Urresti y Von Hesse serían precandidatos de polendas, asegura Otárola|El congresista de la bancada Nacionalista Gana Perú, Fredy Otárola, dijo hoy que tanto el exministro Milton Von Hesse como Daniel Urresti serían ""dos precandidatos de polendas que darían mucho que hablar"", en las elecciones generales de 2016.|02/12/2015|98.6|770.38|0||Fredy Rolando Otárola Peñaranda|Milton von Hesse La Serna|Positivo|2015-12
Web|La República|larepublica.pe|Cambio de guardia - Mirko Lauer|Milton von Hesse ha argumentado razones personales para dejar su precandidatura. Así, Ana Jara y Daniel Urresti vuelven a la carrera por la nominación nacionalista 2016. O a Von Hesse simplemente se le quitaron las ganas de seguir en ese huesero del 1% con poco apoyo oficial, o Palacio terminó por comprender que Von Hesse no daría el mínimo fuego necesario.. A Urresti le fue mejor que a Von Hesse en las encuestas de este segundo semestre. Todavía en agosto pasado una encuesta Pulso Perú le daba 5%, un punto más que César Acuña y dos más que Alejandro Toledo. En octubre la cosa se volteó y Urresti pasó a un 3%. Quizás fue esa caída la que determinó su retiro de la competencia..|05/12/2015|1014.43||0||Mirko Lauer|Milton von Hesse La Serna|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Von Hesse, sigue siendo|El vocero nacionalista Hugo Carrillo dijo que exministro de Vivienda Milton von Hesse continúa como precandidato de su partido con miras a las elecciones generales del 2016 y que no les preocupan los resultados de las encuestas.|02/12/2015|210.1|22.5|0|2|Hugo Carrillo Cavero|Milton von Hesse La Serna|Positivo|2015-12
Medio Impreso|Expreso|Expreso|Milagros Leiva - Periodista|Otárola dice que Von Hesse nunca fue candidato sino precandidata. ¿Y por qué en Gamarra se puso el polo que decía Milton 2016? ¿Regresa Urresti?|03/12/2015|104.34|17.97|0|6|Norma de los Milagros Leiva Gálvez|Milton von Hesse La Serna|Neutro|2015-12
Web|América TV|americatv.com.pe|Urresti podría solicitar a Gana Perú ser otra vez su candidato a la presidencia|El ex ministro del Interior Daniel Urresti se pronunció acerca de las elecciones generales del 2016 y manifestó que el precandidato del Partido Nacionalista, Milton von Hesse, tendrá notoriedad cuando salga victorioso en los comicios internos de su agrupación.|01/12/2015|1554.16||0||Daniel Belizario Urresti Elera|Milton von Hesse La Serna|Neutro|2015-12
Medio Impreso|Extra|Extra|Quiere que siga|La parlamentaría Ana Jara mostró a favor de que Milton Von Hesse de que mantenga su precandidatura presidencial por el Nacionalismo con miras a los comicios del 2016.|03/12/2015|168|42.83|0|4|Ana Ethel Del Rosario Jara Velásquez|Milton von Hesse La Serna|Positivo|2015-12
Web|Canal N|canaln.pe|Daniel Urresti: ""Si van a elegir precandidato me estoy poniendo a disposición""|El ex ministro del Interior, Daniel Urresti, reafirmó que enviará una carta a la presidencia del Partido Nacionalista Peruano, con el fin de que se reevalúe su candidatura, esto ante la supuesta renuncia de Milton Von Hesse a postular a la presidencia de la República.|03/12/2015|104||0||Daniel Belizario Urresti Elera|Milton von Hesse La Serna|Neutro|2015-12
Web|La República|larepublica.pe|Partido Nacionalista asegura que Von Hesse y Daniel Urresti no son los únicos precandidatos|Hugo Carrillo, vocero de la bancada oficialista, señaló que el Partido Nacionalista definirá su candidatura presidencial el 13 de diciembre, con otras opciones adicionales a la de Milton Von Hesse.|03/12/2015|1014.43||0||Hugo Carrillo Cavero|Milton von Hesse La Serna|Neutro|2015-12
