Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|La República|La República|PPK anunciará su plancha el lunes|El líder de Peruanos por el Kambio, Pedro Pablo Kuczynski presentará el lunes su plancha presidencial. Uno de sus jales, el ex peruposibilista Carlos Bruce, confirmó el anuncio de La República, y admitió que hay conversaciones avanzadas con la ex ministra Mercedes Aráoz y la ex procuradora Julia Príncipe para que lo acompañen en las vicepresidencias.|02/12/2015|165.6|34.52|0|10|Carlos Ricardo Bruce Montes De Oca|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Medio Impreso|El Chino|El Chino|PPK no despega en el interior|El líder de Peruanos por el Kambio, Pedro Pablo Kuczynski, no ha crecido en el interior del país como para competir seriamente con Keiko Fujimori (Fuerza Popular) en el interior del país, afirmo el analista Steven Levitsky.|26/12/2015|512.46|108.27|0|5|Steven Levitsky|Pedro Pablo Kuczynski Godard|Neutro|2015-12
Radio|Exitosa|Milagros Leiva en Exitosa |Analista político Luis Benavente opina sobre preferencias electorales (Exitosa)|Vía telefónica. El analista político Luis Benavente comentó sobre los últimos resultados de la encuesta de Datum respecto a las preferencias electorales, además del empate técnico registrado entre PPK y César Acuña. Indicó que la unión de Acuña con Humberto Lay habría sido favorable en un momento, pero recordó que estas cifras fueron tomadas antes de la presentación de estos ante la CADE 2015. Sobre Keiko Fujimori, refirió que ella si bien cuenta con un 35% de votos válidos, no podría ganar en primera vuelta.|07/12/2015|1211.49||641||Luis Benavente Gianella|Pedro Pablo Kuczynski Godard|Neutro|2015-12
Web|Exitosa|exitosadiario.pe|José Ignacio Beteta te sugiere evaluar estos factores antes de decidir tu voto|Les muestro una aplicación de esta “mirada a lo esencial”: un resultado sumamente positivo de la CADE 2015 es que tanto Keiko, PPK y César Acuña han tenido, con mayor o menor profundidad, ideas complementarias con respecto a la necesidad de promover a las micro, pequeñas y medianas empresas. El hecho de que los 3 punteros tengan la camiseta de los pequeños emprendedores es todo un logro que debemos valorar y una señal positiva, al menos a primera vista. ¿Sabes qué propuso cada uno sobre este tema?|09/12/2015|71.5||0||José Ignacio Beteta|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Web|La República|larepublica.pe|“PPK es el principal baluarte de la economía peruana”, asegura su jefe de campaña - VIDEO|El último viernes el candidato de la agrupación Peruanos por el Kambio, Pedro Pablo Kuczynski, presentó su plancha presidencial, que incluye a Martín Vizcarra Cornejo para la primera vicepresidencia y Mercedes Aráoz para la segunda.|19/12/2015|1014.43||0||Gilbert Félix Violeta López|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Web|La República|larepublica.pe|Martín Vizcarra asegura que PPK mejorará la economía|En opinión del candidato a la primera vicepresidencia por Peruanos Por el Kambio (PPK), Martín Vizcarra, el aspirante a la presidencia Pedro Pablo Kuczynski sacará al país del estancamiento económico porque tiene experiencia.. .""Estamos en una situación de desaceleración económica y se está afectando directamente la vida de los peruanos porque no hay trabajo, el costo de vida sube, eso se va a corregir en un eventual gobierno de Pedro Pablo Kuczynski"", expresó.|30/12/2015|1014.43|36.78|0||Martín Alberto Vizcarra Cornejo|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Televisión|TV Perú|TV Perú Noticias Edición Matinal |Giovana Peña Flor analiza participación de candidatos en CADE2015 (Canal 7)|Entrevista. Giovana Peña Flor, analista político dio cuenta de la última encuesta difundido en Diario Uno, el día viernes, donde Keiko Fujimori tiene una intención de voto aprox. de 33%, Pedro Pablo Kuczynski con 15%, César Acuña con 11%, Alan García con 9% donde actualmente existe un 22% de indecisos que definirán la elección presidencial al 2016. Seguidamente, evaluó la participación de cada candidato en CADE2015, donde destacó el tecnicismo en sus propuestas de Pedro Pablo Kuczynski y la necesidad que tiene Keiko Fujimori de distanciarse del Gobierno de su padre que constituye su mayor activo y pasivo a la vez. .|06/12/2015|15538.75||943||Giovanna Peñaflor Guerra|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Web|Gestión|gestion.pe|Confiep: Proponer incremento del sueldo mínimo en campaña presidencial es facilista|¿Existe la posibilidad de aumentar el sueldo mínimo en el próximo gobierno? Si, porque es una prerrogativa política del presidente de la República; pero si le preguntamos a las pequeñas empresas si esto es factible la respuesta será otra, señaló Martín Pérez Monteverde, presidente de la Confiep...En ese sentido, calificó las propuestas de los candidatos presidenciales César Acuña y Pedro Pablo Kuczysnki de incrementar el sueldo mínimo como poco audaces.|16/12/2015|295.49||0||Martín Pérez Monteverde|Pedro Pablo Kuczynski Godard|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Martín Vizcarra: ""La vicepresidencia no es un cargo decorativo""|El primer vicepresidente de PPK también fue decano del Colegio de Ingenieros del Perú. En la actividad privada, se ha desempeñado como gerente de operaciones de C & M Vizcarra S.A.C (1992-2010), además de asesorar a diversas empresas...Recientemente, el Ministerio de Educación le otorgó las Palmas Magisteriales en el Grado de “Amauta” por su contribución con la educación. Como gobernador regional, logró que los colegios de la región Moquegua ocuparan por tres años consecutivos (2011, 2012 y 2013) el primer lugar en la Evaluación Censal de Estudiantes (ECE) del Ministerio de Educación.|18/12/2015|5994.53||0||Martín Alberto Vizcarra Cornejo|Pedro Pablo Kuczynski Godard|Positivo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""No habrá gran transferencia de votos desde el PPC a Alan""|Entrevista a analista político Luis Benavente. - ¿En el caso de Alianza para el Progreso, de César Acuña, ha terminado por aliarse con Somos Perú. /, También se juntan para pasar la valla? Creo que es lo mismo que en el caso del PPC, pues también quieren tener presencia congresal, pero la diferencia con los pepecistas es que Somos Perú no tienen problemas de división. No creo que un representante de Somos Perú integre la plancha presidencial de Acuña, quien es un grande que suma a un pequeño. Acuña está comenzando a generar una expansión centrífuga; se sabe que los partidos nacionales suman votos de regiones y en su caso es al revés. (...) - En el caso de Solidaridad Nacional, parece que han decidido irse con una fujimorista, Luisa María Cuculiza.. Aparentemente han sido ninguneados por PPK. (...) ¿Cómo ve el hecho que personajes progresistas como Vladimiro Huaroc, Anel Townsend y, al parecer, Susana Villarán vayan sumarse a Keiko y Acuña, quienes son vinculados con hechos de corrupción? Es que la izquierda está muy dividida, solo queda una pequeña unidad representada en Verónika Mendoza y que no incluye al sector de Villarán, Nano Guerra, entre otros.|13/12/2015|5756.52|770.67|0|6|Fernando Tuesta Soldevilla|Pedro Pablo Kuczynski Godard|Neutro|2015-12
