Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|El Comercio|El Comercio Cuerpo A|Las fórmulas del 2016 - Hugo Guerra|Quisiera celebrar el advenimiento del nuevo año con optimismo, pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral, hasta este punto, es un desastre , con pocas excepciones. La falta de consistencia ideológica , organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos , pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder , sino a asaltar el Estado. (...) Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre.|28/12/2015|2981.55|325.64|0|16|Hugo Guerra Arteaga|Renzo Reggiardo Barreto|Negativo|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Verano de definiciones|Solo un candidato ha logrado ganar la presidencia; en las últimas tres elecciones, luego de haber liderado la intención de voto en diciembre. Fue Alejandro Toledo en el 2001. Ni Lourdes Flores ni Luis Castañeda pudieron celebrar una victoria en el 2006 y 2011, respectivamente.|28/12/2015|10018|1560.21|0|2|Luis Benavente Gianella|Renzo Reggiardo Barreto|Neutro|2015-12
Medio Impreso|La República|La República - Suplemento Domingo|Promesas 2016 - Renato Cisneros|Ver de una vez por todas «El Despertar de la Fuerza» y dejar de sufrir los comentarios sembrados en las redes por maliciosos spoilers que no se compadecen de los fans de «Star Wars» que no hemos podido ver aún el nuevo episodio de la saga. He leído por ahí que muere Han Solo. Espero que se trate de una broma. Festejar con moderación los cuarenta años de mi nacimiento y, al hacerlo, colgar simbólicamente los chimpunes de los viejos desbandes con que antes solía homenajear esa efeméride. Casarme con Natalia delante de un código civil y, dos días después, delante de una gran cruz, y bailar el vals con empeñoso decoro frente a los invitados, y luego brindar con ellos y allí sí ahondar en los excesos con que es menester celebrar los acontecimientos felices que uno juzga definitivos. No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|2549.04|817.44|0|23|Renato Cisneros|Renzo Reggiardo Barreto|Negativo|2015-12
Web|La República|larepublica.pe|Promesas 2016|No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|1014.43||0||Renato Cisneros|Renzo Reggiardo Barreto|Negativo|2015-12
Radio|RPP|Ampliación de Noticias|Congresistas Alejandro Aguinaga y Luisa Cuculiza comentan su no candidatura a la reelección (RPP)|Entrevista. La congresista Luisa María Cuculiza reconoció que no le cayó nada bien la noticia de que no irá a la reelección pero se sacudió rápido. Manifestó que seguirá ayudando a Keiko Fujimori para que sea presidenta del país. Agradeció a Renzo Reggiardo por haberla invitado, extendió su gratitud para el Apra, Solidaridad Nacional y César Acuña. Por su parte, el legislador Alejandro Aguinaga sostuvo que las acciones que se tengan que dar para cumplir el objetivo de un nuevo gobierno fujimorista hay que aceptarlas. Más adelante, Cuculiza sostuvo que su bandada ha sido unificada y ha seguido siempre los lineamientos del partido. Aguinaga recalcó que es Keiko quien conduce el partido pero precisó que no hay fujimorismo que niegue a Alberto Fujimori. En otro momento, cuestionó que el presidente Ollanta Humala peche al Ministerio Público por la investigación contra su esposa Nadine Heredia.|30/12/2015|16115||1465||Luisa María Cuculiza Torre|Renzo Reggiardo Barreto|Neutro|2015-12
Medio Impreso|La República|La República|Villancicos políticos de esta Navidad - Augusto Álvarez Rodrich|El final del año llega con Keiko Fujimori a la cabeza y la pelea por el segundo lugar entre Pedro Pablo Kuczynski y César Acuña, mientras los ex presidentes Alan García y Alejandro Toledo se van rezagando. (...) A su vez, con una imagen muy mellada por los narcoindultos, Alan García seguramente buscará –ahora en insólita sociedad con Lourdes Flores– revertir el empequeñecimiento de su candidatura (hoy en solo 5%, según GfK) exhibiendo liderazgo y habilidad en la movida electoral, mientras que un desconcertante Toledo –ya en 3%–, se desliza al pelotón de los candidatos hasta ahora menores como Verónika Mendoza (2%), Julio Guzmán (2%), Daniel Urresti (2%) y Renzo Reggiardo (1%).|20/12/2015|1904.86|241.48|0|7|Augusto Álvarez Rodrich|Renzo Reggiardo Barreto|Neutro|2015-12
Web|Perú 21|peru21.pe|Alditus was right! - Aldo Mariátegui|(...) Sigamos con las arcadas como cancha: ¿qué hace un rojo de toda la vida como Huaroc con Keiko? ¿Qué hace una roja supuestamente consecuente como Rosa Mavila aliada con Yehude “Baguazo” Simon, divisionista de la izquierda y ex aliado aprista, ppkausa y toledista, amén de preso por vínculos con el MRTA? ¿Qué hace el maoísta de Patria Roja Gregorio Santos de aliado del fonavista Andrés Alcántara después de que este maltrató así al siomista García Núñez y todo ese sector de viejos de la izquierda? ¿Qué hace Lourdes Flores al lado de Alan después de que ella, a comienzos de los 90, probara todas las acusaciones contra este por BCCI, Mirages, etc…? ¿Qué hace un jurista respetable como Marco Ibazeta de compañero de fórmula de Belmont? ¿Qué hace un religioso como el pastor Lay al lado de un tipo como Acuña? ¿Tan desesperado está Solidaridad para no ir a la baja que recurre al recién choteado ‘Nano’? ¿Reggiardo, Barnechea, Guzmán, Pancho Diez Canseco y Popy creen de verdad que tienen alguna chance? ¿De dónde ha sacado Popy ese extravagante corte de pelo medieval?|22/12/2015|1874.83||0||Aldo Mariátegui Bosse|Renzo Reggiardo Barreto|Negativo|2015-12
Medio Impreso|Diario Uno|Diario Uno|Sacar la segunda vuelta - César Lévano|Pasar a la segunda vuelta en las elecciones presidenciales del 2016 es el sueño de candidatos como Pedro Pablo Kuczynski y César Acuña. Alan García y Alejandro Toledo están demasiado abajo en las encuestas como para aspirar a ese segundo round (...) ""Quizá en enero o febrero veamos a Julio Guzmán, Renzo Reggiardo o Verónika Mendoza entrar a la pelea por el segundo puesto"", manifestó Benavente. (...) El análisis de Benavente no toma en cuenta a Alfredo Barnechea, recién lanzado como candidato de Acción Popular, el partido de Fernando Belaunde, Más allá de inclinaciones personales, considero que Barnechea, hombre de centro, y Verónika Mendoza, candidata de los sectores progresistas, presentan las propuestas más sólidas y coherentes, con mayor sentido social.|29/12/2015|2330.2|244.16|0|2|Luis Benavente Gianella|Renzo Reggiardo Barreto|Positivo|2015-12
Web|Andina|andina.com.pe|Cuculiza descarta postular al Congreso por otra agrupación política|La congresista Luis María Cuculiza dijo respetar la decisión de Fuerza Popular de no incluirla en la lista de candidatos al Congreso y confirmó que no postulará al Parlamento por ninguna otra agrupación política...En declaraciones a diversos medios, Cuculiza confirmó que durante la noche de ayer la propia Keiko Fujimori le comunicó la decisión tomada por la dirigencia de Fuerza Popular.|29/12/2015|98.6||0||Luisa María Cuculiza Torre|Renzo Reggiardo Barreto|Positivo|2015-12
Televisión|RPP|Ampliación de Noticias - RPP|Congresistas Alejandro Aguinaga y Luisa Cuculiza comentan su no candidatura a la reelección (RPP TV)|Entrevista. La congresista Luisa María Cuculiza reconoció que no le cayó nada bien la noticia de que no irá a la reelección pero se sacudió rápido. Manifestó que seguirá ayudando a Keiko Fujimori para que sea presidenta del país. Agradeció a Renzo Reggiardo por haberla invitado, extendió su gratitud para el Apra, Solidaridad Nacional y César Acuña. Por su parte, el legislador Alejandro Aguinaga sostuvo que las acciones que se tengan que dar para cumplir el objetivo de un nuevo gobierno fujimorista hay que aceptarlas. Más adelante, Cuculiza sostuvo que su bandada ha sido unificada y ha seguido siempre los lineamientos del partido. Aguinaga recalcó que es Keiko quien conduce el partido pero precisó que no hay fujimorismo que niegue a Alberto Fujimori. En otro momento, cuestionó que el presidente Ollanta Humala peche al Ministerio Público por la investigación contra su esposa Nadine Heredia.|30/12/2015|6453.2||1460||Luisa María Cuculiza Torre|Renzo Reggiardo Barreto|Neutro|2015-12
Web|El Comercio|elcomercio.pe|Las fórmulas del 2016 - Hugo Guerra|En cuanto a Alfredo Barnechea, es mucho candidato para un partido querido pero maltratado como Acción Popular. Los demás postulantes pequeños, Ántero Flores-Aráoz, Renzo Reggiardo y Julio Guzmán quizá en el 2021 sean una opción...Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre. Además, cuenta con el apoyo de un hombre muy valioso como José Chlimper, aunque la participación de Vladimiro Huaroc es absurda, lo mismo que el maltrato a personalidades como Martha Chávez.|28/12/2015|5994.53||0||Hugo Guerra Arteaga|Renzo Reggiardo Barreto|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Las encuestas a un paso de entrar al año electoral|Solo un candidato ha logrado ganar la presidencia, en las últimas tres elecciones, luego de haber liderado la intención de voto en diciembre. Fue Alejandro Toledo en el 2001. Ni Lourdes Flores ni Luis Castañeda pudieron celebrar una victoria en el 2006 y 2011, respectivamente. Toledo, quien intentó regresar a Palacio, no pudo repetir el plato en los comicios pasados.|28/12/2015|5994.53||0||Luis Benavente Gianella|Renzo Reggiardo Barreto|Neutro|2015-12
