Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|La República|larepublica.pe|La cápsula de cianuro|Ingeniosas frases para la histeria política peruana:.El PPC ha firmado una alianza con la mafia. Daniel Urresti.|21/12/2015|1014.43||0||Augusto Álvarez Rodrich|Ricardo Belmont Cassinelli|Neutro|2015-12
Televisión|RBC Satelital|Boca a Boca|Entrevista a Héctor Vargas Haya (RBC)|Entrevista. Héctor Vargas Haya presentó su libro “Ante la historia: testimonio político”. Indicó que la política en el Perú nunca ha sido tan mala como en estos tiempos y una de las causas es que el Perú se ha quedado huérfano de instituciones. De otro lado, se mostró feliz de que Ricardo Belmont haya decidido postular a la presidencia de la República y elogió su plancha compuesta por Iván Dibós y Marcos Ibazeta|01/12/2015|4631.4||1395||Agustín Haya de la Torre|Ricardo Belmont Cassinelli|Positivo|2015-12
Medio Impreso|Perú 21|Perú 21|Los que no tienen plata también juegan - Carlos Basombrío Iglesias|En mi opinión, estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave, que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber, hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y, ojo, más allá de simpatías o mías, hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos, pero es importante que se escuchen, también, las voces de Mendoza, Barnechea, Belmont, Flores-Aráoz, Reggiardo, Simon, Hilario y Guzmán.|20/12/2015|2902.34|247.02|0|5|Carlos Miguel Ramón Basombrío Iglesias|Ricardo Belmont Cassinelli|Positivo|2015-12
Web|Andina|andina.com.pe|En enero empezará ""lucha frontal"" por conquistar segundo lugar en encuestas|Los próximos meses de campaña electoral se caracterizarán por ser una ""lucha frontal"" por conquistar el segundo lugar de las preferencias electorales, en la que el factor Daniel Urresti jugará un rol importante, manifestó hoy el analista político, Luis Benavente. ""Se van a concentrar en una lucha frontal por el segundo lugar porque lo otro (buscar el primer lugar) va a llevar a un desgaste demasiado grande y las posibilidades son mínimas"", precisó. ..Por tanto, indicó que Pedro Pablo Kuczynski, Alan García, César Acuña y Alejandro Toledo, concentrarán sus estrategia de campaña en confrontar con sus oponentes directos para sumar más votos y alcanzar la segunda vuelta.|17/12/2015|98.6||0||Luis Benavente Gianella|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|Correo|Correo|Interesantes preguntas y partido maquillado - Luis Alfonso Morey|La reciente encuesta de CIT opinión y Mercado publicada ayer revela que frente a la pregunta sobre que candidato presidencial es el más honesto, los primero lugares ocupan Renzo Reggiardo y Ricardo Belmont, mientras que los últimos lugares los ocupan Keiko Fujimori, César Acuña, Alan García y Alejandro Toledo. Frente a la pregunta sobre qué candidato presidencial es el que más ha hecho por el Perú, las respuestas colocan en los primeros lugares a Alan García y a Ricardo Belmont. en tanto que en los últimos puestos aparecen Keiko Fujimori. Renzo Reggiardo, César Acuña y Verónika Mendoza. Los resultados en estos estudios dependen fundamentalmente de aquello que se pregunte. de la forma como se pregunte y de los candidatos que se incluyan y se excluyan de las cartillas.|17/12/2015|1214.62|127.74|0|11|Luis Alfonso Morey|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|La República|La República|Fotochek de apuestas riesgosas - Mriko Lauer|Lourdes Flores. Fue buscada para levantar los bonos del Apra, y si esos bonos no suben ella va a sufrir los reproches de los dos partidos. En verdad la pelea interna del PPC se va a decidir en abril 2016. Si su perspectiva es volver al Congreso, por cierto que será un premio menor. ¿Obtendrá el primer lugar en la lista? Ántero Flores-Aráoz. Se está jugando un huachito radical. Él mismo declara que está candidateando por el placer de la competencia democrática. Como una suerte de generoso aviso luminoso de sí mismo. ¿Quién convenció a este hombre afable de que cartelones con horribles amenazas de la mano dura funcionan para una elección? Fernando Olivera. La suya ni siquiera es una apuesta riesgosa, sino un gambito de pérdida segura. Cuatro meses de vacilón politico, quizás con el propósito de reinstalarse como hombre-denuncia en el mercado. Pero en esto la competencia es dura, y él parece un poco fuera de práctica. Quizás Alejandro Toledo lo puede necesitar.|27/12/2015|1375.29|240.09|0|4|Mirko Lauer|Ricardo Belmont Cassinelli|Neutro|2015-12
Web|La República|larepublica.pe|Promesas 2016|No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|1014.43||0||Renato Cisneros|Ricardo Belmont Cassinelli|Negativo|2015-12
Medio Impreso|Expreso|Expreso|Chatos como cancha - Raúl Chanamé|La década del ochenta fue de los partidos (PAP, AP, IU y PPC), la crisis gubernamental hizo aparecer la antipolitica en los noventa con Belmont, Fujimori y Andrade, Cada uno de ellos triunfó por que se opuso a una hegemonía partidocrática. Tras la debacle fujimorista se anunció el fin de los outsaiders. No fue así. Surgió aluvional Toledo, Castañeda y el propio Humala; tras ellos, con el mismo empuje vendrían PPK y Acuña. La contradicción no era entre la derecha y la izquierda, sino entre lo tradicional y lo nuevo, entre el militante y el independiente. En CADE triunfó la antipolítica. Pues Acuña fracasó en su comunicación verbal con los empresarios, más en su comunicación no verbal para todos los peruanos fue efectivo, pues trasmitió: que no era de la clase política, que ellos lo subestiman intelectualmente y que lo rechazaban.|20/12/2015|1358.58|186.59|0|12|Raúl Chanamé Orbe|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|El voto inesperado - César Lévano|La encuestadora lmasen halló una sorpresa en su sondeo llevado a cabo entre el 26 de noviembre y el 1 de diciembre. A la pregunta: ¿usted votaría por alguien de izquierda para la presidencia de la República?"", 7.2 por ciento respondió: ""definitivamente sí"", y 19.5 declaró: ""probablemente sí"". En suma, un potencial 26.7 por ciento (...) Por lo demás, Imasen confirma en sus puestos a los candidatos favoritos de la Conferencia Anual de Empresarios (CADE). Keiko Fujimori está en la punta, con 33.2 por ciento. Le siguen PPK, con 15.4; César Acuña, con 10.9 y Alan García, con 8.6. Alejandro Toledo obtuvo 4.6 y Verónika Mendoza 2.0. En la lista que, bajo el rubro de otros, cosecha colectivamente 2.8 por ciento figuran Ántero Flores-Aráoz, Romulo Mucho, Miguel Hilario, Renzo Reggiardo, Julio Guzmán, Alfredo Barnechea, José Luna, Gonzalo García, Nono Guerra Garcia, Ricardo Belmont y Hernando de Soto|04/12/2015|2339.75|245.78|0|2|César Lévano|Ricardo Belmont Cassinelli|Neutro|2015-12
Televisión|RBC Satelital|Boca a Boca|Entrevista a José Saavedra, director de CIT Perú (Canal 11)|Entrevista. El director de la encuestadora CIT Perú, José Manuel Saavedra, presentó los resultados de la última encuesta que realizó CIT. La encuesta revela que Renzo Reggiardo obtiene el mayor porcentaje en cuanto a honestidad con 17.8% , seguido por Ricardo Belmont con 15.6% y Francisco Diez Canseco con 12%. Mientras que PPK queda en quinto lugar con 5%. En tanto Keiko Fujimori y César Acuña obtendrían 2%.|15/12/2015|2818.68||849||José Manuel Saavedra Molina|Ricardo Belmont Cassinelli|Positivo|2015-12
