Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|Diario Uno|Diario Uno|Un camino hacia el nuevo Perú - Ramiro Angulo Machiavello|Verónika Mendoza acaba de lanzar los principales jales de su plan de gobierno bajo el concepto de un ""Nuevo Perú"" Ha puesto énfasis en la igualdad de derechos, en el apoyo a los microempresarios, en un manejo económico acorde con el medio ambiente y en la lucha contra la corrupción. Sobre la campaña de Mendoza en un diplomado en Marketing Político en ESAN el camino que recorrerá no será nada fácil.|27/12/2015|3602.26|205.11|0|7|Ramiro Angulo Machiavello|Verónika Mendoza Frisch|Positivo|2015-12
Web|Andina|andina.com.pe|Frente Amplio propone debate entre Veronika Mendoza y Keiko Fujimori|El dirigente del Frente Amplio (FA), Pedro Francke, propuso que las candidatas a la presidencia de la República, Keiko Fujimori y Verónika Mendoza, sostengan un debate sobre el derecho de las mujeres y los derechos humanos, a fin de contrastar sus respectivas propuestas...Refirió que Mendoza ha expresado su disposición para debatir con la candidata de Fuerza Popular toda vez que hasta el momento son las únicas mujeres que aspiran a ganar la Presidencia de la República...“Son las dos únicas candidatas presidenciales. Sería interesante un debate entre ambas, hay bastantes diferencias entre ellas, incluso respecto a la visión sobre las mujeres y los temas de derechos humanos (…)”, señaló a la Agencia Andina.|06/12/2015|98.6||0||Pedro Andrés Francke Ballvé|Verónika Mendoza Frisch|Positivo|2015-12
Medio Impreso|Expreso|Expreso|Apaza pide celeridad para acuerdos con el Frente Amplio|El vocero de la bancada de Dignidad y Democracia, Justiniano Apaza, pidió a los dirigentes de diversas agrupaciones de izquierda que concreten acuerdos con el Frente Amplio de Verónika Mendoza para la formación de una alianza.|12/12/2015|484.9|79.21|0|11|Justiniano Rómulo Apaza Ordóñez|Verónika Mendoza Frisch|Positivo|2015-12
Televisión|Canal ATV Plus|Hora Clave|Entrevista a Marisa Glave, militante de Tierra y Libertad – Frente Amplio (ATV+)|Entrevista. Marisa Glave, militante de Tierra y Libertad – Frente Amplio, criticó la alianza “contranatura” entre el APRA y el PPC. Indicó que la dirigencia del partido aprista hace muchos años que ha desconocido y traicionado sus propias bases ideológicas. De otro lado, se mostró optimista del papel que va a desempeñar Verónika Mendoza en estas elecciones, pues cuenta con el 2.5% de intención de voto a pesar que el 80% de los encuestados aun no la conoce. En otro momento, señaló que Pedro Pablo Kuczynski es el responsable del contrato del Gas de Camisea y la manera incorrecta de como se explotan los recursos naturales en el Perú. Asimismo, mencionó que su movimiento propone que Petroperú se dedique a la explotación del gas.|14/12/2015|7695||1539||Marisa Glave Remy|Verónika Mendoza Frisch|Positivo|2015-12
Radio|Exitosa|Nicolás Lucar en Exitosa|Comentarios de Sigrid Bazán sobre temas de actualidad (Exitosa)|Vía telefónica. Sigrid Bazán informó acerca de la línea que sigue Verónika Mendoza como candidata de izquierda a la presidencia y la reciente inclusión de Susana Villarán a la plancha electoral de Daniel Urresti.|22/12/2015|929.88||492||Sigrid Bazán Narro|Verónika Mendoza Frisch|Positivo|2015-12
Web|El Comercio|elcomercio.pe|Únete confirma apoyo a candidatura de Verónika Mendoza|Gonzalo García Núñez, presidente de la coalición de izquierda Únete, confirmó hoy el apoyo a la candidatura de Verónika Mendoza, del Frente Amplio, a la presidencia de la República en las elecciones generales del 2016. (...) Gonzalo García Núñez resaltó que esta alianza política, que se formalizará en estos días, constituye un paso importante en la unidad de las fuerzas progresistas y de izquierda del país, y que de todas maneras, en un mediano y largo plazo, Únete buscará su inscripción electoral, para lo cual se ha comprado un kit en el Jurado Nacional de Elecciones (JNE).|17/12/2015|5994.53||0||Gonzalo García Núñez|Verónika Mendoza Frisch|Positivo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|Simon chotea a Toledo y le abre puerta a Villarán|En diálogo con Exitosa, el líder del Partido Humanista, Yehude Simon, reveló que el expresidente Alejandro Toledo lo visitó para discutir una posible alianza con su agrupación, pero éste le respondió que no era posible. ""’La visita de Toledo ha sido de cortesía y amistad, pero de todas maneras le agradezco que nos haya considerado (...) En el partido decidimos no hacer alianzas porque queremos tener nuestra propia identidad y personalidad, y luego hacer todo el esfuerzo posible para ganar"", anotó. (...) En tanto, el vocero de la bancada de Dignidad y Democracia, Justiniano Apaza, pidió a los dirigentes de diversas agrupaciones de izquierda que concreten acuerdos con el Frente Amplio, representado por Verónika Mendoza, para la formación de una alianza.|12/12/2015|1735.67|199.69|0|3|Justiniano Rómulo Apaza Ordóñez|Verónika Mendoza Frisch|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|Los que no tienen plata también juegan - Carlos Basombrío Iglesias|En mi opinión, estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave, que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber, hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y, ojo, más allá de simpatías o mías, hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos, pero es importante que se escuchen, también, las voces de Mendoza, Barnechea, Belmont, Flores-Aráoz, Reggiardo, Simon, Hilario y Guzmán.|20/12/2015|2902.34|247.02|0|5|Carlos Miguel Ramón Basombrío Iglesias|Verónika Mendoza Frisch|Positivo|2015-12
Medio Impreso|El Men|El Men|Debate|El dirigente del Frente Amplio (FA), Pedro Francke, propuso que las candidatas a la presidencia de la República, Keiko Fujimori y Verónika Mendoza, sostengan un debate sobre el derecho de las mujeres y los derechos humanos, a fin de contrastar sus respectivas propuestas.|07/12/2015|171.08|47.59|0|3|Pedro Andrés Francke Ballvé|Verónika Mendoza Frisch|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Respaldo a Verónika crecerá más dentro de dos meses|En la tienda de la candidata presidencial Verónika Mendoza hay bastante optimismo luego de conocerse los resultados de la última encuesta de Imasen que revela que ella ha subido hasta 2% y se ubica en el quinto lugar en la intención de voto en la cual Keiko va primero y los otros tres se pelean por el segundo lugar.(...) El subdirector de Opinión Pública de la Universidad Católica, Sandro Macassi, dijo al diario UNO que Mendoza tiene posibilidades de crecer pero para ello necesita mejorar su discurso.(...) Imasen reveló que keiko Fujimori tiene 33.2%, Pedro Pablo Kuczynski 15.4%, César Acuña, 10.9%, Alan García 8.6%, Alejandro Toledo 4.6%, Verónika Mendoza 2%, otros 2,8%, ninguno 1.6% y no responde 5,6%.|05/12/2015|8694.32|569.27|0|5|Pedro Andrés Francke Ballvé|Verónika Mendoza Frisch|Positivo|2015-12
