Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Medio Impreso|Correo|Correo|Macondo Electoral - Iván Slocovich Pardo|No hay duda de que, con lo visto en las últimas horas en el panorama electoral peruano, la desmesurada y genial imaginación de Gabriel García Márquez, uno de los padres del realismo mágico en Latinoamérica -esa corriente literaria donde lo extraño, absurdo e inimaginable sucede como si nada y sin que nadie levante una ceja-, ha quedado chica, pues las postulaciones de Nano Guerra García, el preso Gregorio Santos y Susana Villarán escapan de todo lo previsible y lógico. Comencemos con Guerra Garáa, quien hasta hace unos ellas era el casi anónimo precanctidato presidencial del Partido Humanista hasta que el líder de esta agrupación. Yehude Simon. decidió bajarle el dedo por ""no hacer clic"" con los electores. Ahora el hombre ha sido acogido por Solidaridad Nacional, cuyo dueño parece ser José Luna, quien antes quiso aliarse con Pedro Pablo Kuczynski, pero fue rechazado por pedir demasiado a cambio de aportar poco o nada a los “pepekausas”. Avanzaba la tarde de ayer y se confirmó que Susana Villarán, la autoproclamada reserva moral de la política peruana, defensora de los derechos humanos y constructora de ciudadanía, iba en la plancha de Daniel Urresti (procesado por asesinato), del Partido Nacionalista, cuya lideresa no puede explicar de dónde saca la plata.|21/12/2015|1807.59|189.86|0|11|Iván Slocovich Pardo|Yehude Simon Munaro|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|Los que no tienen plata también juegan - Carlos Basombrío Iglesias|En mi opinión, estos cuatro meses de la primera etapa de la campaña quedan teñidos por un vicio muy grave, que está alterando las condiciones mininas de igualdad para una contienda electoral. Me refiero al abuso del poder del dino para hacer campaña política encubierta usando los dineros de una universidad. (...) Hasta donde llego a saber, hay otros 12 candidatos presidenciales. ¿Cómo van a lograr que sus propuestas lleguen con efectividad y equidad si hay tal distorsión en la capacidad económica de hacer publicidad? Y, ojo, más allá de simpatías o mías, hay muchas candidaturas importantes que hoy están con 2% o menos. Se puede discrepar o coincidir con cada uno de ellos, pero es importante que se escuchen, también, las voces de Mendoza, Barnechea, Belmont, Flores-Aráoz, Reggiardo, Simon, Hilario y Guzmán.|20/12/2015|2902.34|247.02|0|5|Carlos Miguel Ramón Basombrío Iglesias|Yehude Simon Munaro|Positivo|2015-12
Medio Impreso|Perú 21|Perú 21|Dejan a Simon|Nano se baja del carro. Hernando Guerra García retiró su candidatura por el Partido Humanista. De acuerdo con su carta, Yehude Simon no cumplió los acuerdos, pues este se presentó como precandidato.|14/12/2015|137.08|16.14|0|4|Hernando Guerra García |Yehude Simon Munaro|Negativo|2015-12
Medio Impreso|Correo|Correo|La frase|""Nano Guerra crea nueva modalidad de transfuguismo: cambiar de partido antes de ser candidato. Yehude está furioso por haber sido superado"". Jorge Villena. Pepecista y exregidor de Lima.|24/12/2015|679.04|71.28|0|4|Jorge Rafael Villena Larrea|Yehude Simon Munaro|Neutro|2015-12
Medio Impreso|Hildebrandt en sus trece|Hildebrandt en sus trece|Conservadurismo de izquierda - David Roca Basadre|Parece que al izquierda , por oscuros designios, terminó en la ""unidad"". Y ya está: Verónika Mendoza es al candidata de la izquierda con el Frente Amplio y , a pesar del pataleo de varios, Marco Arana es parte de la plancha presidencial como candidato a primer vicepresidente. Como ya sabemos, el probo llamado Únete, suma de siglas y ganas electorales que aparecen cada cuatro y cinco años, luego de pasar por las mañas y manías de Yehude y de los señores Alcántara, debió olvidar orgullos, bajar el moño y buscar al Frente Amplio. Así que, por fin, la ""unidad"". Le falta una última prueba que es la elección para candidatos congresales, Si logra superar eso, podremos decir que la .tesis de que con la ""unidad"" de esa izquierda se logran victorias (o al menos bastantes votos) se pondrá a prueba. (...) La enorme base social de respaldo de esa izquierda fue destruida, como todo en el país, por la conjunción de tres personajes siniestros: Abimael Guzmán, que atacaba a toda organización social que no podía controlar, asesinando dirigentes; Alan García Pérez, mediante un gobierno desolador que precarizó al extremo a la población, que así empezó a ser presa fácil del clientelaje; y Alberto Fujimori, gran desarticulador de sindicatos y de movimientos sociales de base mediante el asistencialismo más feroz.|18/12/2015|2994.6|651.64|0|19|David Roca Basadre|Yehude Simon Munaro|Neutro|2015-12
Medio Impreso|Del País|Del País|Lluvia de candidatos - Jimmy Torres C.|No cabe duda que nuestro país es muy rico, pero muy rico. Hay mucho dinero y eso se demuestra por la gran cantidad de candidatos presidenciales. La pugna por llegar al sillón de Pizarro es intensa y todo vale. Pero, habrá que preguntarse todos los candidatos e integrantes de su plancha si tiene vocación de servicio al Estado o es la simple enfermedad de saciar el apetito de poder. Entre los que postulan la gran mayoría ya ocupo cargos, saben lo que es estar con automóvil, chofer, seguridad, gastos de representación y una vida artificial .Lo que si causa gracia es la plancha presidencial que lideraran Alfredo Barnechea, Fernando Olivera, Daniel Urresti, Yehude Simón, Alejandro Toledo y de Hernando Guerra García.|21/12/2015|933.3|255.67|0|2|Jimmy Torres Carrasco|Yehude Simon Munaro|Negativo|2015-12
Televisión|Canal N|De 6 a 9|Entrevista a la candidata a la primera vicepresidencia por el Partido Humanista, Rosa Mavila (Canal N)|Entrevista. La congresista y candidata a la primera vicepresidencia por el Partido Humanista, Rosa Mavila, comentó cómo llegó a postular al cargo (cuyo candidato es el parlamentario Yehude Simon), y expresó que es una decisión política. Aclaró, además, qué ocurrió con la candidatura de Hernando 'Nano' Guerra García con Únete y criticó su cambio de centro izquierda a centro derecha (con el partido Solidaridad Nacional, del cual es ahora candidato). Consideró que quizá él aún no tenía sus ideas claras. Reveló también que siempre ha tenido ciertas ideas con respecto a la “izquierda más unida”. Aseveró que para ella la lucha contra la corrupción “no tiene pelaje” y señaló que nadie puede objetarle a Simon su lucha contra este mal que aqueja a la sociedad. Con respecto a Verónika Mendoza, indicó que debe tener una perspectiva a mediano y largo plazo, pues considera que ella está construyendo un espacio público. Sobre su trabajo en las comisiones de narcotráfico y su relación en la política, manifestó que el resultado de su balance es positivo, sin embargo,aún debe tratar temas de lavado de activos, tema que afecta a partidos como el fujimorista. Sobre el financiamiento a las agrupaciones políticas, precisó que la ONPE debe ponerse más estricta en sus evaluaciones. Lamentó, luego, que no se traten temas como el de “Caracol” -sobre quien se dice habría huído en avionetas del Ejército-. Mavila, por otra parte, sostuvo que la decisión de Keiko Fujimori sobre los congresistas que dejó fuera de la lista a la reelección, refleja que es ella quien lidera el partido Fuerza Popular.|31/12/2015|13314||951||Rosa Mavila León|Yehude Simon Munaro|Positivo|2015-12
Web|La República|larepublica.pe|Promesas 2016|No votar por Keiko, ni por Alan, ni por Acuña, ni por Urresti, ni por Toledo, ni por Ántero, ni por Belmont, ni por Gregorio Santos, ni por Yehude, ni por Reggiardo, ni por Nano, ni por Julio Guzmán, ni por Verónika Mendoza, ni por los otros pitufos. Ni en primera ni en segunda vuelta.|27/12/2015|1014.43||0||Renato Cisneros|Yehude Simon Munaro|Negativo|2015-12
Web|Exitosa|exitosadiario.pe|""Incorporación de Meche Aráoz confirma que Peruanos por el Kambio es el partido de lobbistas""|Entrevista. Marco Arana, candidato a la vicepresidencia por Frente Amplio. (...) Usted señaló que le preocupa que César Acuña gane la Presidencia y entre a saquear al Estado…. .Hay tres cosas graves. Que el señor Acuña está procesado por usar fondos públicos cuando fue alcalde para conseguir votos. ¿El Poder Judicial está amarrado de manos o es cómplice? ¿El Jurado Nacional de Elecciones qué dice al respecto? ¿O el señor Acuña está teniendo el padrinazgo de las altas esferas del poder? Segundo: todas las investigaciones de sus fondos. Yo no tengo nada contra un señor que hace fortuna, pero el origen de esos fondos ¿cuándo se va a investigar? Y tercero: está metido en negocios de educación que como sabemos tienen exoneración tributaria, entonces ¿cómo es posible que usen este negocio para una campaña multimillonaria y eso genera una desventaja en la competencia electoral? ¿Dónde está la Sunat?|26/12/2015|71.5||0||Marco Antonio Arana Zegarra|Yehude Simon Munaro|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|El escenario para la izquierda - Carlos Bedoya|Parece que estoy viviendo un dejavu cuando veo cómo se ha plantado la izquierda de cara a las elecciones de abril. (...) Ollanta Humala y su nacionalismo pasaba a segunda vuelta con más del 30 por ciento y se ubicaba como primera minoría en el Parlamento (que luego perdería tras la ruptura con su aliado UPP y otras bajas congresales que sufrió al ser derrotado por García Pérez. (...) En primer lugar tenemos a Yehude Simon que irá con Rosa Mavila en la plancha. (...) La otra candidatura, que si bien es cierto es la que más emociona por su juventud y carisma es la de Verónika Mendoza, que se asemejaría la candidatura de PS de 2006. (...) ahora que queda claro que César Acuña ha logrado ubicarse en el segundo lugar de preferencias electorales con los votos que debió aglutinar la izquierda hace rato en lugar de mirarse el ombligo.|20/12/2015|2679.73|244.35|0|4|Carlos Alonso Bedoya|Yehude Simon Munaro|Neutro|2015-12
