Tipo;Medio General;Medio Específico;Título;Resumen;Fecha Emisión;Valorización;Cm2;Duración;Página;Personajes;Candidatos 2016;Tono;Mes Emisión
Web;Expreso;expreso.com.pe;Evaluarán posible violación de neutralidad electoral de Ollanta Humala;Según un informe del coordinador de fiscalización del Jurado Electoral Especial (JEE) Lima Centro 1, Leonel Concha Montoya, “habría una posible vulneración al principio de neutralidad electoral” cometida por Ollanta Humala, presidente constitucional de la República. (...) Al día siguiente, en la ceremonia de lanzamiento de un proyecto de ampliación de agua potable en Villa María del Triunfo, asoció a un candidato presidencial con “programas truchos”. “Les ofrecían el ‘agua para todos’ y al final era ‘coima para todos’”, dijo Humala en alusión al programa inaugurado en el gobierno de Alan García. Aunque ayer (jueves), Ollanta Humala volvió a hablar de la corrupción en el gobierno fujimorista (1990- 2000). “Estamos criticando, como tenemos todo el derecho a criticar, lo bueno o lo malo que se ha hecho en gestiones anteriores”, se justificó. También minimizó un informe de la asociación civil Transparencia, según el cual Qali Warma fue la entidad pública que, a través del Twitter, transgredió más veces la prohibición de publicidad estatal en período electoral.;25/12/2015;52;;0;;Ollanta Moisés Humala Tasso;Alan García Pérez;Negativo;2015-12
Web;El Comercio;elcomercio.pe;Gregorio Santos postulará a la presidencia desde la cárcel;El ex gobernador regional de Cajamarca, Gregorio Santos, fue elegido como candidato presidencial de Democracia Directa. Santos se encuentra en este momento en el penal Piedras Gordas afrontando prisión preventiva por los presuntos delitos de cohecho pasivo, asociación ilícita para delinquir y colusión en agravio del Estado. (...) A través de sus redes sociales, Gregorio Santos ha aprovechado no solo para defender su candidatura, sino para atacar al gobierno de Ollanta Humala y a la postulación de Daniel Urresti en el oficialismo.;20/12/2015;5994.53;;0;;Gregorio Santos Guerrero;Daniel Urresti Elera;Negativo;2015-12
Web;RPP;rpp.com.pe;Anel Townsend: Nunca estuve inscrita en Unión por el Perú;La nueva vocera de Alianza para el Progreso, Anel Townsend, aclaró en el programa Al Estilo Juliana de RPP Noticias que su cargo en el partido en el cual milita desde el lunes pasado es como vocera de campaña en la cuidad de Lima para impulsar y lograr votos en diferentes distritos de la capital. (...) Por otro lado expresó también que ve positiva la disposición de Acuña para someterse a investigaciones y denuncias en su contra. Finalmente, destacó la labor del ingeniero en la creación de sus universidades y los programas que se impulsan en estas. """Ha sido importante que Acuña haya dicho que lo pueden investigar y verán que las denuncias serán aclaradas. Yo conocí a Acuña cuando fue congresista, hemos tenido trabajos en conjunto, en 2009 colaboré con la universidad César Vallejo y ahí aprendí mucho de este consorcio y encontré que tenían programas permanentes de capacitación e inserción en comunidades""", comentó.;12/12/2015;1700.92;;0;;Ana Elena Luisa Cristina Townsend Diez-Canseco;César Acuña Peralta;Positivo;2015-12
Televisión;RPP;Las 5 de las 7;Entrevista a los analistas políticos Marisa Glave, Cecilia Blume y Pedro Tenorio sobre la guerra en los partidos por curules (RPP TV);Guerra en los partidos por curules. La politóloga Cecilia Blume comentó que Keiko Fujimori ha aclarado en la CADE que ella es la jefa de su partido y quiere sangre nueva. A su turno, el periodista especializado en temas políticos Pedro Tenorio indicó que esta situación es consecuencia de la relación que Keiko ha forjado con su bancada en los últimos dos años. Luego la analista política Marisa Glave señaló que Luis María Cuculiza en la única que se podría quedar en la lista de Keiko, porque los demás fujimoristas están muy vinculados a la política de su padre.;17/12/2015;4221.1;;955;;Pedro Tenorio Narváez;Keiko Fujimori Higuchi;Neutro;2015-12
Web;Correo;diariocorreo.pe;El amigo elegido en la política - Jaime Asián Domínguez;Sabido es que, en nuestro país, la política es un chiste (y en forma recurrente de mal gusto). En ese entendido, y ad portas de las fiestas navideñas, qué tal si distribuimos algunos regalos entre estos congéneres que gobiernan o pretenden tomar las riendas del país luego de las elecciones del próximo año. Eso sí, el que se pica, pierde. César Acuña: Va para él una enciclopedia y un libro Coquito, para que aprenda a leer y escribir.. así deja de hacer tanto roche cuando escribe tuits y lee discursos. Keiko Fujimori: Se ha hecho acreedora a un juego de Monopolio, porque ahí tiene el poder para meter y sacar de la cárcel a la gente (aló, ¿don Alberto?). PPK: Ya que lo fastidian tanto con el tema de la edad y sus achaques, se lleva un kit completo de cremas antiarrugas y rejuvenecedoras. Alan García: De cajón una suscripción urgente a Netflix para que pueda ver la serie Narcos. Ahí está el detalle. Daniel Urresti: Está cantado el libro El completo manual del suicidio (Wataru Tsurumi). Solo él puede creer que pasará la valla electoral con el Partido Nacionalista.;14/12/2015;702.1;;0;;Jaime Asián Domínguez;Daniel Urresti Elera;Neutro;2015-12
Televisión;RPP;RPP NOTICIAS - EDICIÓN TARDE;Luis Iberico justificó que César Acuña desconozca origen de aportes a su campaña (RPP TV);El presidente del Congreso e integrante de Alianza Para el Progreso, Luis Iberico, justificó que el líder de su partido, César Acuña, desconozca el origen de los aportes a su campaña política, señalando que “un candidato solo tiene la misión de ser candidato”.;17/12/2015;614.38;;139;;Luis Carlos Antonio Iberico Nuñez;César Acuña Peralta;Positivo;2015-12
Radio;RPP;Siempre en Casa;Congresista Luz Salgado niega discrepancias en el fujimorismo (RPP);Despacho. La congresista Luz Salgado calificó de pertinente las evaluaciones que Fuerza Popular realiza a sus integrantes a fin de conformar la lista congresal para las elecciones generales del próximo año. En ese sentido, indicó que todos los partidos políticos deberían hacer este tipo de evaluaciones. Finalmente, dijo que siempre hará política independientemente de si su lideresa partidaria Keiko Fujimori no apoya su postulación al Parlamento.;17/12/2015;1375;;125;;Luisa María Cuculiza Torre;Keiko Fujimori Higuchi;Positivo;2015-12
Web;Perú 21;peru21.pe;Ausencia cultural II, por David Flores-Hora [Opinión];Continuando la reflexión de la semana pasada, vale la pena aclarar que ninguno de los documentos consultados es un plan oficial de gobierno. Sin embargo, dejan en claro el desinterés por vincular cultura con la política estatal. – Fuerza Popular (Keiko Fujimori). Cultura es lo más lejano para la hija del dictador. Resulta extraño que quien lidera las encuestas no tenga –a la fecha– ninguna propuesta (en economía, seguridad, lucha contra la corrupción, servicios públicos, etc.) que pueda difundir en su portal. – Partido Aprista Peruano (Alan García Pérez). Esta agrupación es la única –de las consultadas– que incluye en su portal un resumen de su plan de gobierno. Lamentablemente, es fechado en enero de 2010 y –obviamente– no hace alusión a políticas culturales.;12/12/2015;1874.83;;0;;David Flores Hora;Keiko Fujimori Higuchi;Negativo;2015-12
Medio Impreso;Perú 21;Perú 21;Y qué tal si ... - Luis Davelouis;…dado que la inseguridad ciudadana no es un problema nuevo ni habrá de desaparecer a partir del próximo 28 de julio, los pretendientes a presidente y sus equipos se ponen de acuerdo con el actual gobierno para avanzar en el diseño de políticas que lo mitiguen o ayuden a solucionarlo?. (...) Ambas son reformas dolorosas e impopulares de costo político altísimo pero funcionales a la meta de un país más seguro y mejor educado. Quien sea que llegue a Palacio lo hará apenas (como Alan García y la educación en el 2006-2007) o no lo hará. ¿Quién puede comprarse el pleito y asumir el costo hoy, que es urgente? La gestión saliente. ¿Qué puede perder sino que se le recuerde como el que se sacrificó y, por decir algo, botó a la mitad de la Policía y destituyó a la mitad del Poder Judicial para dejarle el campo limpio al siguiente gobierno?.;03/12/2015;1593.64;186.74;0;12;Luis Davelouis Lengua;Alan García Pérez;Neutro;2015-12
Web;Gestión;gestion.pe;Confiep: Proponer incremento del sueldo mínimo en campaña presidencial es facilista;¿Existe la posibilidad de aumentar el sueldo mínimo en el próximo gobierno? Si, porque es una prerrogativa política del presidente de la República.. pero si le preguntamos a las pequeñas empresas si esto es factible la respuesta será otra, señaló Martín Pérez Monteverde, presidente de la Confiep. En ese sentido, calificó las propuestas de los candidatos presidenciales César Acuña y Pedro Pablo Kuczysnki de incrementar el sueldo mínimo como poco audaces.;16/12/2015;295.49;;0;;Martín Pérez Monteverde;César Acuña Peralta;Negativo;2015-12
